SAMindex,EGsmlie2D,Category,kinds
SAM147,N[C@H]1C[NH2+][C@@H](C(=O)[O-])C1,"5Ketone, 6Amine",2
SAM148,N[C@H]1C[NH2+]C[C@H]1C(=O)[O-],"5Ketone, 6Amine",2
SAM149,N[C@H]1C[NH2+]C[C@@H]1C(=O)[O-],"5Ketone, 6Amine",2
SAM150,N[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,"1Alcohol, 6Amine, 8Ether",3
SAM151,NCC(=O)CCO,"1Alcohol, 5Ketone, 6Amine",3
SAM152,NCC(=O)C[C@@H]([NH3+])C(=O)[O-],"5Ketone, 6Amine",2
SAM153,NCC(=O)C[C@H]([NH3+])C(=O)[O-],"5Ketone, 6Amine",2
SAM154,CNC(=O)[C@@H](N)[C@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM155,CNC(=O)[C@H](N)[C@@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM156,CN1CCN(C[C@@H](O)CO)CC1,"1Alcohol, 6Amine",2
SAM157,C[C@]1(C(N)=O)CNCCO1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM158,CN1CCN(C[C@H](O)CO)CC1,"1Alcohol, 6Amine",2
SAM159,CC1(N)C(=O)NC(=O)NC1=O,"5Ketone, 6Amine, 7Amide",3
SAM160,CN1[C@H]2CC(=O)C[C@@H]1[C@@H](O)[C@H]2O,"1Alcohol, 5Ketone, 6Amine",3
SAM161,CC(=O)NCCC(=O)NCCO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM162,CC(=O)N[C@@H](O)[C@@H](O)NC(C)=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM163,CC(=O)N[C@@H](O)[C@H](O)NC(C)=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM164,CC(=O)N[C@H](C)C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM165,CC(=O)N[C@H](O)[C@@H](O)NC(C)=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM166,CC(C)(CO)[C@H](O)C(=O)NCCO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM167,CC(C)(CO)[C@@H](O)C(=O)NCCO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM168,CCNC(=O)C(=O)NCCOC,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM169,CCNC(=O)C(=O)NCCO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM170,CNC(=O)C(=O)NC,"5Ketone, 6Amine, 7Amide",3
SAM171,CNC(=O)CN1C(=O)CCC1=O,"5Ketone, 6Amine, 7Amide",3
SAM172,CNC(=O)NCCO,"1Alcohol, 6Amine, 7Amide",3
SAM173,COC(=O)C(N)C(=O)OC,"3Ester, 5Ketone, 6Amine, 8Ether",4
SAM174,COC(=O)C1(C(=O)OC)CN1,"3Ester, 5Ketone, 6Amine, 8Ether",4
SAM175,COC(=O)C1(C(=O)OC)ON1C,"3Ester, 5Ketone, 6Amine, 8Ether",4
SAM176,COC(=O)C1(N)COC1,"3Ester, 5Ketone, 6Amine, 8Ether",4
SAM177,COC(=O)[C@@H](N)CN1CCOCC1,"3Ester, 5Ketone, 6Amine, 8Ether",4
SAM178,COC(=O)[C@@H](N)[C@@H](C)O,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5
SAM179,COC(=O)[C@@H](N)[C@H](C)O,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5
SAM180,COC(=O)[C@@H](O)[C@@H](O)C(=O)OC,"1Alcohol, 3Ester, 5Ketone, 8Ether",4
SAM181,COC(=O)[C@@H](O)[C@H](O)C(=O)OC,"1Alcohol, 3Ester, 5Ketone, 8Ether",4
SAM182,COC(=O)[C@H](N)[C@H](C)O,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5
SAM183,COC(=O)[C@H](N)[C@@H](C)O,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5
SAM184,COC(=O)[C@H](N)CN1CCOCC1,"3Ester, 5Ketone, 6Amine, 8Ether",4
SAM185,COC(=O)[C@H]1CS(=O)(=O)CCN1,"3Ester, 5Ketone, 6Amine, 8Ether",4
SAM186,COC(=O)c1nnc(C(=O)OC)nn1,"3Ester, 8Ether",2
SAM187,CO[C@H]1O[C@H](OC)[C@H](O)[C@@H]1O,"1Alcohol, 8Ether",2
SAM188,CO[C@H]1O[C@@H](OC)[C@H](O)[C@H]1O,"1Alcohol, 8Ether",2
SAM189,CO[C@H]1O[C@@H](OC)[C@H](O)[C@@H]1O,"1Alcohol, 8Ether",2
SAM190,CO[C@H]1O[C@@H](OC)[C@@H](O)[C@@H]1O,"1Alcohol, 8Ether",2
SAM191,CO[C@H]1O[C@@H](OC)[C@@H](O)[C@H]1O,"1Alcohol, 8Ether",2
SAM192,CS(=O)(=O)NO,"1Alcohol, 6Amine",2
SAM193,C[C@@H](O)C(=O)NCCO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM194,CNC(=O)CNC(C)=O,"5Ketone, 6Amine, 7Amide",3
SAM195,Cn1ncnc2c(=O)n(C)c(=O)nc1-2,11Other,1
SAM196,NC(=O)CCc1nc(N)n[nH]1,"5Ketone, 6Amine, 7Amide",3
SAM197,NC(=O)Cn1cc(N)ccc1=O,"5Ketone, 6Amine, 7Amide",3
SAM198,NC(=O)Cc1nonc1N,"5Ketone, 6Amine, 7Amide",3
SAM199,NC(=O)Cc1nc[nH]n1,"5Ketone, 6Amine, 7Amide",3
SAM200,NC(=O)NC(=O)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM201,NC(=O)NCCN1CCOCC1,"6Amine, 7Amide, 8Ether",3
SAM202,NC(=O)NCCO,"1Alcohol, 6Amine, 7Amide",3
SAM203,NC(=O)NC(CO)(CO)CO,"1Alcohol, 6Amine, 7Amide",3
SAM204,NC(=O)NC1NCCN1,"6Amine, 7Amide",2
SAM205,NC(=O)C(C(N)=O)C1CC1,"5Ketone, 6Amine, 7Amide",3
SAM206,CNC(=O)c1noc(CN)n1,"6Amine, 7Amide",2
SAM207,NC(=O)[C@@H]1CO1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM208,NC(=O)[C@@H](O)[C@H]1CCOC1,"1Alcohol, 5Ketone, 6Amine, 7Amide, 8Ether",5
SAM209,NC(=O)[C@@H](O)[C@@H]1CCOC1,"1Alcohol, 5Ketone, 6Amine, 7Amide, 8Ether",5
SAM210,NC(=O)[C@@H]1CCC(=O)N1,"5Ketone, 6Amine, 7Amide",3
SAM211,NC(=O)[C@@H]1COCCN1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM212,NC(=O)[C@H](O)[C@@H]1CCOC1,"1Alcohol, 5Ketone, 6Amine, 7Amide, 8Ether",5
SAM213,NC(=O)[C@H](O)[C@H]1CCOC1,"1Alcohol, 5Ketone, 6Amine, 7Amide, 8Ether",5
SAM214,NC(=O)[C@H]1CCC(=O)N1,"5Ketone, 6Amine, 7Amide",3
SAM215,NC(=O)[C@H]1COCCN1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM216,NC(=O)[C@H]1CO1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM217,NN1CC(=O)NC1=O,"5Ketone, 6Amine, 7Amide",3
SAM218,C1CNn2nnnc2N1,6Amine,1
SAM219,C=CC(=O)NC(CO)(CO)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM220,CC(=O)Cn1nnnc1N,"5Ketone, 6Amine",2
SAM221,CC(=O)NC(NC(C)=O)NC(C)=O,"5Ketone, 6Amine, 7Amide",3
SAM222,CC(=O)NC(CO)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM223,CC(=O)NCC(=O)CNC(C)=O,"5Ketone, 6Amine, 7Amide",3
SAM224,NC(=O)C1(O)CNC1,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM225,C[N@H+]1CCNC(=O)[C@@H]1CC(=O)[O-],"5Ketone, 6Amine, 7Amide",3
SAM226,CN1C[C@H](O)[C@H](O)[C@H](O)[C@@H]1CO,"1Alcohol, 6Amine",2
SAM227,CC(C)NC(=O)C(=O)N1CCNCC1,"5Ketone, 6Amine, 7Amide",3
SAM228,NCC(=O)CN,"5Ketone, 6Amine",2
SAM229,C[C@H](O)[C@@H](N)C(N)=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM230,C[C@H](O)[C@H](N)C(N)=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM231,CN1C[C@H](O)[C@H](O)[C@@H](O)[C@@H]1CO,"1Alcohol, 6Amine",2
SAM232,C[N@@H+](CCO)CC(=O)[O-],"1Alcohol, 5Ketone, 6Amine",3
SAM233,C[NH+](C)C[C@H](N)C(=O)[O-],"5Ketone, 6Amine",2
SAM234,CNC(=O)[C@@H]1CNCCO1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM235,C[NH+](C)C[C@@H](N)C(=O)[O-],"5Ketone, 6Amine",2
SAM236,CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,"1Alcohol, 6Amine",2
SAM237,CNC(=O)[C@@H](N)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM238,CNC(=O)[C@H](N)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM239,C[N@@H+](CCN)CC(=O)[O-],"5Ketone, 6Amine",2
SAM240,C[N@H+]1CCNC[C@H]1C(=O)[O-],"5Ketone, 6Amine",2
SAM241,CN1C[C@H](N)C(=O)N1,"5Ketone, 6Amine, 7Amide",3
SAM242,CNC1(CO)COC1,"1Alcohol, 6Amine, 8Ether",3
SAM243,C[C@H]1CNC[C@@H](C(N)=O)O1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM244,C[C@H]1CNC[C@H](C(N)=O)O1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM245,CN1C[C@H](O)[C@H](O)[C@@H](O)[C@H]1CO,"1Alcohol, 6Amine",2
SAM246,OC1(c2cn[nH]n2)CNC1,"1Alcohol, 6Amine",2
SAM247,NCc1nnc2c(=O)[nH]ccn12,6Amine,1
SAM248,CN1C[C@@H](N)C(=O)N1,"5Ketone, 6Amine, 7Amide",3
SAM249,CC(C)C[C@@H](NC(=O)CN)C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM250,OCCN1CCN(CCO)CC1,"1Alcohol, 6Amine",2
SAM251,O[C@H]1CNCCO1,"1Alcohol, 6Amine, 8Ether",3
SAM252,CC(=O)NCCN[C@@H]1CC(=O)NC1=O,"5Ketone, 6Amine, 7Amide",3
SAM253,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"1Alcohol, 6Amine",2
SAM254,CNC(=O)NC[C@H]1COCCN1,"6Amine, 7Amide, 8Ether",3
SAM255,CNC1(C(N)=O)CNC1,"5Ketone, 6Amine, 7Amide",3
SAM256,OCCNC1COC1,"1Alcohol, 6Amine, 8Ether",3
SAM257,COCCN[C@@H]1CC(=O)NC1=O,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM258,CC(=O)NCCN[C@H]1CC(=O)NC1=O,"5Ketone, 6Amine, 7Amide",3
SAM259,NC(=O)c1nc(N)nc2[nH]cnc12,"6Amine, 7Amide",2
SAM260,CC(=O)NCSC[C@H](N)C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM261,CC(=O)N[C@@H](Cc1cnc[nH]1)C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM262,CNC(=O)CCNC(=O)CN(C)C,"5Ketone, 6Amine, 7Amide",3
SAM263,CC(=O)N[C@H](Cc1cnc[nH]1)C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM264,CNC(=O)[C@H]1CNCCO1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM265,C[NH2+][C@@H](CN)C(=O)[O-],"5Ketone, 6Amine",2
SAM266,COC(=O)C1(N)CNC1,"3Ester, 5Ketone, 6Amine, 8Ether",4
SAM267,COCCN[C@H]1CC(=O)NC1=O,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM268,COC[C@@H](N)C(N)=O,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM269,COC[C@H](N)C(N)=O,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM270,C[C@@H](NC(=O)CN)C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM271,C[C@@H](O)[C@@H](N)C(N)=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM272,C[C@@]1(C(=O)NCCO)CNCCO1,"1Alcohol, 5Ketone, 6Amine, 7Amide, 8Ether",5
SAM273,C[C@@H](O)[C@H](N)C(N)=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM274,Cn1c(CN)n[nH]c1=O,6Amine,1
SAM275,NC(=O)[C@H](N)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM276,NC(=O)[C@@H](N)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM277,NC(=O)C(=O)N1CCNCC1,"5Ketone, 6Amine, 7Amide",3
SAM278,NC(=O)CCN1CCN(C=O)CC1,"5Ketone, 6Amine, 7Amide",3
SAM279,NC(=O)CN1CCC[C@H](C(N)=O)C1,"5Ketone, 6Amine, 7Amide",3
SAM280,NC(=O)C[C@@H]1COCCN1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM281,NC(=O)C[C@H]1COCCN1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM282,NC(=O)[C@@H]1Cc2nc[nH]c2CN1,"5Ketone, 6Amine, 7Amide",3
SAM283,NC(=O)[C@@H]1CNCCC1=O,"5Ketone, 6Amine, 7Amide",3
SAM284,NC(=O)[C@@H]1CNCCO1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM285,NC(=O)[C@@]1(N)CCOC1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM286,NC(=O)[C@H]1CNCCO1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM287,NC(=O)[C@]1(N)CCOC1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM288,NC(=O)[C@H]1Cc2nc[nH]c2CN1,"5Ketone, 6Amine, 7Amide",3
SAM289,NC(=O)[C@H]1CNCCC1=O,"5Ketone, 6Amine, 7Amide",3
SAM290,NCc1nc(N)n[nH]1,6Amine,1
SAM291,NCc1nc(N)nc(N)n1,6Amine,1
SAM292,N[C@@H]1CC[NH2+][C@@H]1C(=O)[O-],"5Ketone, 6Amine",2
SAM293,N[C@@H]1C[NH2+][C@H](C(=O)[O-])C1,"5Ketone, 6Amine",2
SAM294,N[C@@H]1C[NH2+][C@@H](C(=O)[O-])C1,"5Ketone, 6Amine",2
SAM295,N[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,"1Alcohol, 6Amine, 8Ether",3
SAM296,N[C@H]1C[NH2+][C@H](C(=O)[O-])C1,"5Ketone, 6Amine",2
SAM297,CNC(=O)NC[C@@H]1COCCN1,"6Amine, 7Amide, 8Ether",3
SAM298,NC(=O)c1nc[nH]n1,"6Amine, 7Amide",2
SAM299,NC(=O)c1nc(N)nc2c1CNCC2,"6Amine, 7Amide",2
SAM300,CNC(=O)[C@@H](N)[C@@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
