SAMindex,EGsmlie2D,TC_mean,c_interface_mean,SAM_length_mean,Water_all_overlap_factor
SAM001,Cc1ccc(Nc2ccccc2)cc1C,62.717,-62.93907607,19.07672399,0.324281183
SAM002,C1=C/CC/C=C/CC/C=C/CC/1,42.50925,-81.89045874,21.73936921,0.286543349
SAM003,c1cc2cc3sccc3cc2s1,48.74075,-70.13265364,15.79906439,0.294007568
SAM004,Cc1cc(C)c(-c2ccccc2)s1,64.153,-70.27392278,17.25745532,0.296763799
SAM005,c1cc2cc3ccccc3cc2s1,54.1965,-63.5457598,16.06015805,0.291667857
SAM006,C1=C/CC/C=C\CC/C=C/CC/1,53.86575,-92.72198325,22.07914192,0.290965461
SAM007,CCCC1=C(C)C(C)=C(C)[C@@H]1C,40.8,-75.31809855,17.36658498,0.293710814
SAM008,Cc1cccc([C@H]2CCC[C@H](C)C2)c1,45.40425,-82.03907004,18.37148483,0.279155069
SAM009,CCC(C)(C)C1CCC(F)(F)CC1,70.59275,-121.6483328,22.03602044,0.281545216
SAM010,Cc1ccc(C(F)F)c2ccccc12,88.6725,-129.7283402,15.13581625,0.294175161
SAM011,CCCCCc1ccc(C)cc1C,43.18725,-60.07127519,19.56680978,0.299551303
SAM012,c1ccc(-c2ccc(C3CC3)cc2)cc1,48.797,-72.15506317,18.46343853,0.29886403
SAM013,C1CC[C@@H]2C[C@@H]3CCCC[C@@H]3C[C@H]2C1,38.93,-88.83241836,21.87974984,0.264298456
SAM014,c1cc2ccc3ccsc3c2s1,57.11225,-72.43071891,15.30886427,0.305998283
SAM015,CC=C=C1CCC(c2ccccc2)CC1,66.505,-69.03900738,20.0860771,0.292052328
SAM017,CN[C@H](C=O)[C@H](O)[C@@H](O)[C@H](O)CO,141.76525,-162.1886901,16.79795102,0.28939343
SAM018,C[C@H](O)[C@@H](O)C=O,160.934,-129.5035006,12.04456307,0.294425541
SAM019,CNC(N=N)NCCO,142.40925,-147.4517825,14.97855208,0.33299264
SAM020,C[C@]1(C=O)NC(=O)NC1=O,173.88075,-295.1313605,12.90017484,0.304832201
SAM022,C[C@H](O)[C@H](O)[C@H](O)C=O,146.33975,-130.4265639,13.59273719,0.288079595
SAM023,C[C@H](O)[C@H](O)C=O,152.556,-125.0343637,11.99674539,0.295543935
SAM024,CN(C)N/N=C1/N=CN=C1C(N)=O,92.0455,-490.9717591,19.43031896,0.373920769
SAM025,OC1[C@H](O)[C@H](O)C2(CO2)[C@H](O)[C@@H]1O,102.28675,-169.3933371,20.90933762,0.301222513
SAM026,OC1[C@H](O)[C@H](O)C2(CO2)[C@H](O)[C@H]1O,105.50575,-170.6875707,20.82600845,0.301024925
SAM027,CO[C@H](C=O)O[C@H](C=O)CO,136.4385,-172.6669285,15.01631572,0.294543424
SAM028,CN[C@H](C=O)[C@H](O)[C@H](O)[C@@H](O)CO,148.081,-164.2645489,16.20377281,0.298482173
SAM029,NC(=O)/C=C/C(=O)NO,189.36725,-258.5354059,12.90878702,0.382073934
SAM030,C[C@H](O)[C@@H](O)[C@@H](O)C=O,148.328,-133.1937659,13.58971705,0.289817009
SAM031,N[C@@H](C=O)C(O)C(O)C(O)C=O,154.28875,-151.8516212,14.46197348,0.306299345
SAM032,C=C(CC(N)=O)[C@H]([NH3+])C(=O)[O-],185.1475,-297.5288738,13.60819479,0.373975316
SAM033,C=CCNC(=O)C(=O)NC[C@H](C)O,77.066,-92.93937847,17.15222044,0.303382889
SAM034,COC(=O)[C@H](C=O)N(C)C=O,118.3065,-173.0770997,15.02495027,0.297812152
SAM035,CC(=O)N[C@@H](C=O)OCC=O,123.254,-122.887814,15.9688053,0.317648702
SAM036,CC(=O)N[C@H](C=O)OCC=O,123.7795,-123.5392819,15.91393058,0.317826529
SAM037,CC(=O)ONC(=O)C(N)=O,190.9025,-246.0605214,13.0530861,0.321175191
SAM038,C=C1NC(=O)C(=O)C1C(N)=O,198.18425,-214.600701,13.9882234,0.3717355
SAM039,C[C@H](O)[C@@H](O)[C@@H](O)[C@H](F)C=O,128.26475,-147.5334741,14.9041653,0.292748333
SAM040,CO[C@@H]([C@@H](O)C=O)[C@H](O)[C@H](O)CO,155.1605,-187.1243565,15.76092561,0.283527538
SAM041,CO[C@@H]([C@H](O)C=O)[C@H](O)[C@H](O)CO,148.41975,-190.8521796,18.76997701,0.286420083
SAM042,CO[C@@H](C=O)O[C@@H](C=O)CO,154.39325,-179.8604227,14.99230061,0.295730923
SAM043,CO[C@H](C=O)O[C@@H](C=O)CO,144.279,-184.6170416,15.02137018,0.295880719
SAM044,CO[C@H]([C@@H](O)C=O)[C@H](O)[C@H](O)CO,156.47425,-188.6227096,17.29358443,0.284531658
SAM045,C[C@@H](O)[C@@H](O)[C@@H](O)CC=O,131.09375,-160.8747683,14.86713421,0.288482596
SAM046,C[C@@H](O)[C@@H](O)[C@@H](O)C=O,153.00625,-140.3939988,13.59651899,0.288726689
SAM047,C[C@@H](O)[C@@H](O)[C@H](O)C=O,148.63225,-144.1137901,13.58671078,0.284562899
SAM048,C[C@@H](O)[C@@H](O)C=O,152.11725,-132.4066122,12.31816674,0.298067916
SAM049,C[C@@H](O)[C@H](O)C=O,164.192,-129.3414258,12.16417517,0.297316448
SAM050,C[C@@H](O)[C@H](O)[C@H](O)C=O,152.6485,-140.7950126,13.57865724,0.284680699
SAM051,C[C@H](O)[C@@H](O)[C@H](O)C=O,144.48675,-131.9188,13.58351964,0.282179808
SAM053,NOC(=O)[C@H](O)[C@@H](O)C(=O)ON,164.7975,-172.6543122,15.3371265,0.394668594
SAM054,C=CCNC(=O)C(=O)NCCCO,153.09925,-165.735172,18.02746785,0.296423728
SAM055,C=CCNC(=O)c1cc(=O)[nH]c(=O)[nH]1,167.82075,-245.0022745,16.44580058,0.344293967
SAM056,C=C[C@@H](O)[C@@H](O)CO,143.0795,-139.5618823,14.05102272,0.283760693
SAM058,CC(=O)N[C@@H](CS)C(N)=O,77.07575,-79.51731518,15.17676368,0.345118976
SAM059,OC[C@H]1O[C@H](S)[C@H](O)[C@@H](O)[C@H]1O,162.82475,-165.0585405,15.33094526,0.297367081
SAM060,CO[C@H](C=O)[C@@H](O)[C@@H](O)CO,163.94175,-193.1227232,15.19272056,0.284911043
SAM061,C[C@@H](O)[C@@H](O)C[C@H](O)C=O,138.26825,-131.4744297,15.33671941,0.304044661
SAM062,NC(=O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,142.36,-139.6001282,14.92276191,0.311622838
SAM063,N=NC(NN)NN,187.5105,-207.4140756,13.39424438,0.442281517
SAM064,N[C@@H](C=O)[C@H](O)[C@H](O)[C@@H](O)CO,158.6075,-168.5013119,14.9052647,0.295565926
SAM065,C[C@H](O)[C@H](O)[C@@H](O)C=O,141.4815,-130.8375167,13.58238035,0.285807148
SAM066,CN(C)C(=O)N=C(N)N,136.882,-189.263416,17.21462999,0.311082009
SAM067,OC[C@@H]1O[C@H](S)[C@H](O)[C@H](O)[C@H]1O,163.522,-170.7531536,15.48824334,0.293529129
SAM068,CNC(N=N)NC,76.511,-65.42338603,13.69478007,0.337758585
SAM069,OC[C@H]1O[C@@H](S)[C@H](O)[C@@H](O)[C@@H]1O,155.9785,-156.9842867,15.51989936,0.292454096
SAM070,COC1NCC(C=O)CN1,122.08875,-159.3870986,15.48709668,0.307654289
SAM071,CNC(N=N)N(C)C,74.39125,-80.43505438,14.04880236,0.315391879
SAM072,CCNC(=O)C(=O)NC[C@H](C)O,90.64,-118.7625834,16.67372461,0.303224543
SAM073,CCNC(=O)C(=O)NC[C@@H](C)O,85.97725,-104.3608933,16.63984793,0.302279882
SAM074,C[C@@H](NC(=O)[C@@H]([NH3+])[C@@H](C)O)C(=O)[O-],109.71725,-135.0629323,16.30722831,0.365115778
SAM075,CNC(=O)C(=O)NC[C@@H](C)O,64.89475,-73.52635979,15.16717068,0.298571698
SAM076,CNC(=O)CC(=O)NC,77.432,-62.62904647,15.09841775,0.321041963
SAM077,CNC(=O)NCNC(=O)NC,94.521,-75.83510647,16.27468501,0.361170753
SAM078,CNC(=O)[C@@H](O)[C@@H](O)C(=O)NC,116.328,-176.2855808,16.58955763,0.319597647
SAM079,CN[C@@H](CO)C(=O)OC,105.82,-126.6304926,14.65756026,0.313243037
SAM080,COC(=O)C(NC=O)C(=O)OC,106.954,-147.1572299,16.13318997,0.285136587
SAM081,COC(=O)C1(O)CNC1,92.53725,-111.3090035,14.40278955,0.278733712
SAM082,COC(=O)[C@@H](N)[C@@H](O)C(=O)OC,117.593,-180.636703,15.94435066,0.327090235
SAM083,COC(=O)[C@H](N)[C@@H](O)C(=O)OC,117.0365,-177.6063435,16.00458779,0.328711015
SAM084,CO[C@H]1O[C@H](CO)[C@H](C)[C@@H](O)[C@@H]1O,108.67025,-136.0426346,18.47187125,0.291829149
SAM085,CO[C@H]1O[C@H](CO)[C@H](C)[C@@H](O)[C@H]1O,106.39825,-135.5912813,18.51284215,0.29244493
SAM086,CO[C@H]1O[C@@H](CO)[C@H](C)[C@@H](O)[C@H]1O,108.0285,-139.4968285,18.17077541,0.293207855
SAM087,CO[C@H]1O[C@@H](CO)[C@H](C)[C@@H](O)[C@@H]1O,108.98075,-139.7822024,18.10387425,0.291596358
SAM088,CO[C@H]1OC[C@@H](C(C)=O)[C@@H](O)[C@H]1O,86.03725,-107.8152672,17.16267587,0.297195389
SAM089,CO[C@H]1OC[C@H](C(C)=O)[C@@H](O)[C@H]1O,88.64425,-109.9597968,17.16979091,0.295631546
SAM090,CS(=O)(=O)CN,91.21325,-118.8337951,14.45714513,0.344342692
SAM091,CS(=O)(=O)c1cc(=O)[nH]c(=O)[nH]1,111.3995,-212.6479768,16.78847196,0.359940354
SAM092,C[C@@H](O)C(=O)NC(C)(CO)CO,108.452,-156.2434062,15.48703772,0.311811102
SAM093,C[C@@H](O)CNC(=O)[C@@H](C)O,66.9665,-66.02054925,15.39772907,0.294985594
SAM094,C[C@@]1(O)[C@H](O)O[C@](C)(CO)[C@]1(C)O,90.41975,-161.9377426,20.93494491,0.304009138
SAM095,C[C@H](O)C(=O)NC(C)(CO)CO,112.95075,-156.7687476,15.45272384,0.314439644
SAM096,Cn1c(=O)[nH]c(=O)c2c(O)c[nH]c21,101.59725,-192.1789657,19.00990531,0.381352603
SAM097,CNC(=O)C(=O)NCCCOC,63.84375,-62.12057648,17.41738445,0.280500801
SAM098,CNC(=O)C(=O)NCCOC,59.67675,-60.07506676,15.64845975,0.277707882
SAM099,NC(=O)NCN1CCOCC1,74.7025,-126.146373,16.12829182,0.305969294
SAM100,NC(=O)[C@@H]1CC[C@H](C(=O)[O-])[NH2+]1,116.545,-242.6637306,14.03190806,0.320579227
SAM101,NC(=O)[C@@H]1[C@H]2C=C[C@H](O2)[C@@H]1C(N)=O,120.1215,-169.1962298,14.89471799,0.342044143
SAM102,NN1C(=O)[C@@H]2[C@H]3C=C[C@H](O3)[C@@H]2C1=O,85.48025,-145.1268388,18.23252365,0.326241186
SAM103,NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H](O3)[C@H]2C1=O,93.27825,-142.20476,17.09118406,0.323296446
SAM104,C1CN1c1nnc(N2CC2)nn1,112.58475,-163.4796441,15.71439218,0.297238138
SAM105,C1Cn2nnnc2CN1,81.7565,-104.0676881,13.0873116,0.326210427
SAM106,C1NCNCN1,101.951,-98.47106642,12.08638766,0.301997728
SAM107,C1c2nnnn2Cc2nnnn21,80.298,-99.19026249,15.14930123,0.313879275
SAM108,CC(=O)NCC(O)CNC(C)=O,89.49125,-84.41756244,17.30424482,0.316157521
SAM109,CC(=O)N[C@@H]1COC[C@H]1O,114.55325,-141.5125842,14.76983697,0.292233917
SAM110,CC(=O)N[C@@H]1C[C@H](O)O[C@H](C)[C@H]1O,124.09175,-185.5979049,16.69332568,0.312304693
SAM111,CC(=O)N[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,122.96725,-152.3462061,16.15984536,0.287669637
SAM112,CN1C[C@H](N)C1=O,155.915,-224.9303976,12.19309525,0.312107441
SAM113,CN1C(=O)C2C(=O)NC(=O)C[C@H]2C1=O,160.09775,-244.7035708,15.31331471,0.304342836
SAM114,CN1C(=O)C2C(=O)NC(=O)C[C@@H]2C1=O,163.98025,-248.4087043,15.35701019,0.295646291
SAM115,CN(CO)CCO,143.1215,-150.8296636,13.11502496,0.295410086
SAM116,CN1C[C@@H](N)C1=O,147.0335,-220.6447734,12.20053992,0.32089926
SAM117,CN1[C@H]2CC(=O)C[C@@H]1[C@H](O)[C@@H]2O,129.51225,-199.1984184,19.18381563,0.287013397
SAM118,OCc1nnc(CO)[nH]1,101.887,-93.5523208,13.97778498,0.331078623
SAM119,C[C@@]1(C(N)=O)CNCCO1,128.84375,-169.7404475,13.68341771,0.325018106
SAM120,C[C@@H]1O[C@H](N)[C@@H](O)[C@H](O)[C@@H]1O,182.95075,-191.7960344,14.34738985,0.321346147
SAM121,NC(N=O)NO,164.298,-134.78206,11.80714999,0.369376933
SAM122,C[C@@H]1O[C@@H](N)[C@@H](O)[C@H](O)[C@@H]1O,183.66,-188.5631172,14.31454097,0.319941325
SAM123,N[C@H]1COCCNC1=O,93.65525,-120.3723352,13.37735169,0.301035321
SAM124,N[C@@H]1COCCNC1=O,79.6345,-115.5888257,13.35426007,0.303947549
SAM125,OC[C@H]1NC[C@@H](O)C(O)[C@@H]1O,169.89175,-180.4103021,15.44753299,0.299013791
SAM126,N[C@H]1C(O)[C@H](O)[C@@H](CO)O[C@H]1O,171.53725,-202.2056761,15.08508816,0.313749526
SAM127,N[C@H]1C(O)[C@H](O)[C@@H](CO)O[C@@H]1O,167.16975,-197.4894096,15.09557284,0.314876266
SAM128,N[C@@H]1C(=O)NC[C@H]1O,172.628,-187.3531454,12.29581986,0.319103915
SAM129,CNC(=O)[C@H](N)[C@H](C)O,80.25675,-73.05349054,14.49068664,0.320136019
SAM130,NC(=O)C(=O)NCc1cnc[nH]1,134.4615,-218.0278118,14.94033245,0.334276655
SAM131,NC(=O)CC1(N)COC1,110.3845,-134.8595515,13.94710243,0.323229371
SAM132,NC(=O)Cc1c[nH]nn1,140.61125,-150.00026,14.02139823,0.349126664
SAM133,NC(=O)[C@@H](N)CN1CCOCC1,69.41875,-119.8868219,15.99566957,0.294583312
SAM134,NC(=O)[C@H](N)CN1CCOCC1,71.48275,-117.1591663,16.00500936,0.299476439
SAM136,N[C@@H](C[NH+](CCO)CCO)C(=O)[O-],117.03475,-311.2234295,23.45460727,0.325541659
SAM137,N[C@@H]1CC[NH2+][C@H]1C(=O)[O-],168.3095,-343.7688634,13.04097655,0.321371421
SAM138,N[C@@H]1C[NH2+]C[C@H]1C(=O)[O-],161.19475,-287.8242897,13.07546666,0.313115094
SAM139,N[C@@H]1C[NH2+]C[C@@H]1C(=O)[O-],170.14725,-299.5892476,13.0908547,0.312452413
SAM140,N[C@@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,172.03425,-187.6981539,14.38173356,0.307866446
SAM141,N[C@@H]1[C@H](NO)O[C@@H](CO)[C@@H](O)[C@@H]1O,169.8835,-204.4050218,18.59415903,0.349313078
SAM142,N[C@@H]1[C@H](NO)O[C@H](CO)[C@H](O)[C@@H]1O,166.467,-209.5046485,18.24906386,0.348519171
SAM143,N[C@@H]1[C@H](NO)O[C@@H](CO)[C@H](O)[C@@H]1O,161.0455,-205.1721073,18.87278868,0.345745645
SAM144,N[C@@H]1[C@H](NO)O[C@H](CO)[C@@H](O)[C@@H]1O,165.81175,-208.3875028,18.63180215,0.345739309
SAM145,N[C@H]1CC[NH2+][C@@H]1C(=O)[O-],179.67075,-340.5122805,13.06417185,0.321354293
SAM146,N[C@H]1CC[NH2+][C@H]1C(=O)[O-],177.817,-345.2523469,13.04585307,0.326067532
