,SAMindex,TC_mean,E_pair_var,c_interface_up_mean,c_interface_dw_mean,qed,MaxAbsPartialCharge,PEOE_VSA1,TPSA,MolLogP,MolMR
0,SAM001,62.717,67694.66943,-69.89782502,-55.98032712,0.765519964,0.355518912,5.316788604,12.03,4.04704,65.6407
1,SAM002,42.50925,47293.45367,-87.90539347,-75.87552401,0.472025009,0.088220564,0.0,0.0,4.0092,55.122
2,SAM003,48.74075,85347.73339,-74.24872361,-66.01658367,0.50003843,0.14379833,0.0,0.0,4.116,57.208
3,SAM004,64.153,61163.39262,-74.65112089,-65.89672467,0.633466743,0.140338316,0.0,0.0,4.03194,59.229
4,SAM005,54.1965,82590.63693,-66.57371437,-60.51780523,0.494058196,0.143799325,0.0,0.0,4.0545,59.331
5,SAM006,53.86575,75210.32159,-97.04842857,-88.39553792,0.472025009,0.088220564,0.0,0.0,4.0092,55.122
6,SAM007,40.8,63787.53023,-81.05959699,-69.57660011,0.576374091,0.065076316,0.0,0.0,4.0891,55.146
7,SAM008,45.40425,61382.0353,-85.50859561,-78.56954447,0.616477629,0.06248808,0.0,0.0,4.28872,61.552
8,SAM009,70.59275,37609.00626,-126.2375932,-117.0590724,0.610352107,0.247727804,0.0,0.0,4.2481,50.977
9,SAM010,88.6725,66634.3521,-136.382036,-123.0746443,0.63804814,0.263947188,0.0,0.0,4.08582,53.642
10,SAM011,43.18725,74376.67354,-64.6232782,-55.51927217,0.607376494,0.065382195,0.0,0.0,4.03614,59.145
11,SAM012,48.797,68633.52743,-76.78943099,-67.52069535,0.670717896,0.062225395,0.0,0.0,4.231,63.853
12,SAM013,38.93,51213.93769,-93.05148868,-84.61334803,0.533637049,0.053021486,0.0,0.0,4.393,60.13
13,SAM014,57.11225,65007.22625,-76.47238056,-68.38905725,0.50003843,0.142304245,0.0,0.0,4.116,57.208
14,SAM015,66.505,71322.35407,-74.39209273,-63.68592202,0.584899386,0.12638533,0.0,0.0,4.4456,64.921
15,SAM016,200.10075,33718.90277,-238.9431192,-215.2576897,0.360924209,0.361392606,11.05045608,72.19,-1.2261,32.4011
16,SAM017,141.76525,43235.8946,-177.9713353,-146.4060449,0.284908548,0.393579139,30.53743537,110.02,-3.1517,44.0179
17,SAM018,160.934,44441.20132,-136.0566811,-122.9503201,0.438303577,0.390250858,15.00759197,57.53,-1.073,23.7516
18,SAM019,142.40925,36989.58348,-156.5352577,-138.3683073,0.28896756,0.395052232,5.106527395,80.5,-0.89773,33.0839
19,SAM020,173.88075,36674.19844,-299.5778606,-290.6848604,0.273629484,0.322207921,10.11132579,75.27,-1.2166,31.1434
20,SAM021,205.80975,38236.64256,-219.5525985,-187.3327556,0.159551022,0.283995986,0.0,86.29,-1.01633,25.3185
21,SAM022,146.33975,49441.71489,-138.7737104,-122.0794174,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
22,SAM023,152.556,43561.34547,-131.2419298,-118.8267976,0.438303577,0.390250858,15.00759197,57.53,-1.073,23.7516
23,SAM024,92.0455,40081.44051,-485.463908,-496.4796102,0.510867503,0.364133957,5.733667477,95.44,-1.6657,49.3791
24,SAM025,102.28675,52257.42521,-170.8728615,-167.9138126,0.25526316,0.387497436,30.26949993,113.68,-3.4265,38.717
25,SAM026,105.50575,28945.05743,-187.5499904,-153.8251509,0.25526316,0.387497436,30.26949993,113.68,-3.4265,38.717
26,SAM027,136.4385,39798.2706,-187.0581757,-158.2756812,0.389317323,0.393200655,19.37479049,72.83,-1.2658,34.8838
27,SAM028,148.081,45934.75645,-167.9717248,-160.557373,0.284908548,0.393579139,30.53743537,110.02,-3.1517,44.0179
28,SAM029,189.36725,34043.88159,-269.7046967,-247.3661151,0.241925031,0.366112083,5.733667477,92.42,-1.4667,28.2636
29,SAM030,148.328,52219.7007,-141.4069082,-124.9806235,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
30,SAM031,154.28875,43031.0319,-157.2944131,-146.4088293,0.327957047,0.388211022,30.64232403,120.85,-3.2058,38.1238
31,SAM032,185.1475,28233.75918,-314.6245467,-280.4332008,0.419542007,0.543632998,21.36839953,110.86,-3.2216,34.6345
32,SAM033,77.066,57272.38131,-105.047249,-80.83150793,0.380398139,0.39158365,15.7401046,78.43,-1.2144,47.8972
33,SAM034,118.3065,45156.94983,-185.5518891,-160.6023103,0.293893289,0.467148493,14.43130987,63.68,-1.1849,35.695
34,SAM035,123.254,52224.08394,-127.5352065,-118.2404214,0.406370117,0.343866575,14.84818874,72.47,-1.137,35.6847
35,SAM036,123.7795,61235.83796,-130.7335313,-116.3450325,0.406370117,0.343866575,14.84818874,72.47,-1.137,35.6847
36,SAM037,190.9025,40182.21889,-258.6945718,-233.4264709,0.30670463,0.361293553,10.57125606,98.49,-1.934,29.1031
37,SAM038,198.18425,34189.181,-224.2259798,-204.9754221,0.348213363,0.368692179,11.05045608,89.26,-1.6995,34.9741
38,SAM039,128.26475,37486.00308,-156.0556349,-139.0113133,0.449971017,0.390616612,20.11411937,77.76,-1.374,34.6544
39,SAM040,155.1605,32985.79558,-197.9980703,-176.2506426,0.342031945,0.393579131,29.95750972,107.22,-2.7247,41.9672
40,SAM041,148.41975,30246.7713,-200.0927737,-181.6115855,0.342031945,0.393579131,29.95750972,107.22,-2.7247,41.9672
41,SAM042,154.39325,45963.60739,-184.2779502,-175.4428952,0.389317323,0.393200655,19.37479049,72.83,-1.2658,34.8838
42,SAM043,144.279,35961.78088,-196.8620153,-172.3720678,0.389317323,0.393200655,19.37479049,72.83,-1.2658,34.8838
43,SAM044,156.47425,35292.42465,-195.0327554,-182.2126638,0.342031945,0.393579131,29.95750972,107.22,-2.7247,41.9672
44,SAM045,131.09375,41349.89584,-171.1383549,-150.6111817,0.431917593,0.390618758,20.11411937,77.76,-1.322,34.3754
45,SAM046,153.00625,48189.63333,-149.2380202,-131.5499773,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
46,SAM047,148.63225,45844.80309,-150.8563938,-137.3711864,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
47,SAM048,152.11725,41448.51133,-136.6211285,-128.1920959,0.438303577,0.390250858,15.00759197,57.53,-1.073,23.7516
48,SAM049,164.192,39427.83217,-134.852064,-123.8307876,0.438303577,0.390250858,15.00759197,57.53,-1.073,23.7516
49,SAM050,152.6485,47326.81277,-148.2256395,-133.3643856,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
50,SAM051,144.48675,34715.42328,-137.3557629,-126.481837,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
51,SAM052,222.5885,43861.04382,-277.9469996,-255.7970194,0.187939434,0.361321191,5.733667477,92.42,-2.0229,19.1236
52,SAM053,164.7975,37843.82497,-183.3653489,-161.9432754,0.3277028,0.378540881,19.88823196,145.1,-3.458,32.5724
53,SAM054,153.09925,43164.72489,-174.4058399,-157.064504,0.28614573,0.396306689,15.7401046,78.43,-1.2128,47.9192
54,SAM055,167.82075,38937.79477,-259.6458952,-230.3586537,0.538501866,0.347307244,10.30076712,94.82,-1.021,50.2136
55,SAM056,143.0795,43446.10391,-149.7160519,-129.4077126,0.411549333,0.393567693,15.31958218,60.69,-1.1135,29.2964
56,SAM057,240.311,36600.68209,-361.5455778,-339.1063334,0.191606844,0.40939241,16.25770911,87.71,-1.1311,32.0926
57,SAM058,77.07575,47639.15491,-85.52492801,-73.50970234,0.46115418,0.367861117,11.05045608,72.19,-1.0938,40.6521
58,SAM059,162.82475,39087.01767,-174.8479617,-155.2691193,0.304727532,0.393567678,25.16297253,90.15,-2.2839,42.7532
59,SAM060,163.94175,37447.74827,-209.0500545,-177.1953919,0.405632135,0.39357889,24.85098232,86.99,-2.0856,35.9604
60,SAM061,138.26825,22667.3024,-137.979703,-124.9691563,0.431917593,0.390724783,20.11411937,77.76,-1.322,34.3754
61,SAM062,142.36,49538.90731,-147.6865741,-131.5136822,0.282590971,0.387112606,30.95431424,141.08,-3.8858,39.2856
62,SAM063,187.5105,41628.28766,-219.9578071,-194.870344,0.126082315,0.268414322,0.0,112.31,-1.77243,23.5819
63,SAM064,158.6075,32823.77776,-181.1658201,-155.8368037,0.279978348,0.393579139,30.95431424,124.01,-3.4124,39.1456
64,SAM065,141.4815,48451.25569,-138.102569,-123.5724643,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
65,SAM066,136.882,59146.198,-194.0914459,-184.435386,0.323586906,0.369707066,16.36724469,84.71,-1.0586,34.8928
66,SAM067,163.522,40370.83253,-179.5291486,-161.9771586,0.304727532,0.393567678,25.16297253,90.15,-2.2839,42.7532
67,SAM068,76.511,66657.80136,-70.92761501,-59.91915705,0.339395357,0.285013321,0.0,60.27,-0.26023,27.0551
68,SAM069,155.9785,36500.76591,-166.793905,-147.1746684,0.304727532,0.393567678,25.16297253,90.15,-2.2839,42.7532
69,SAM070,122.08875,44938.60827,-166.7929203,-151.9812769,0.484186386,0.353184819,9.531400138,50.36,-1.0757,36.3564
70,SAM071,74.39125,71207.47425,-88.8600278,-72.01008095,0.405081883,0.284835979,0.0,51.48,0.08197,31.6824
71,SAM072,90.64,47810.28868,-133.6543065,-103.8708603,0.46130787,0.39158365,15.7401046,78.43,-1.3805,43.3742
72,SAM073,85.97725,34468.65184,-129.1086101,-79.61317641,0.46130787,0.39158365,15.7401046,78.43,-1.3805,43.3742
73,SAM074,109.71725,70375.79005,-131.19471,-138.9311545,0.4215317,0.547909144,26.05804805,117.1,-3.7677,40.9686
74,SAM075,64.89475,59971.52491,-78.27644711,-68.77627246,0.418183349,0.39158365,15.7401046,78.43,-1.7706,38.7572
75,SAM076,77.432,61196.25572,-68.19690629,-57.06118664,0.464504711,0.35873122,10.63357721,58.2,-1.1315,32.7504
76,SAM077,94.521,54614.43848,-89.33283912,-62.33737381,0.382663493,0.341192509,21.26715442,82.26,-1.1981,40.0498
77,SAM078,116.328,47883.52569,-233.606289,-118.9648725,0.373060558,0.380047677,20.846632,98.66,-2.7998,40.147
78,SAM079,105.82,39765.62985,-140.2855665,-112.9754186,0.471682848,0.467783209,15.16017895,58.56,-1.2603,31.9495
79,SAM080,106.954,39170.29679,-144.4346684,-149.8797913,0.317457343,0.467039206,14.79051451,81.7,-1.553,37.0197
80,SAM081,92.53725,53426.62631,-118.3361123,-104.2818946,0.424831753,0.46680806,15.16017895,58.56,-1.5063,29.8355
81,SAM082,117.593,46788.87013,-193.1623884,-168.1110175,0.484556599,0.467767766,20.31392078,98.85,-1.9794,38.0142
82,SAM083,117.0365,48009.84144,-188.1790162,-167.0336707,0.484556599,0.467767766,20.31392078,98.85,-1.9794,38.0142
83,SAM084,108.67025,48552.98991,-146.7248991,-125.3603701,0.506973821,0.39366296,24.79330809,79.15,-1.2921,43.9334
84,SAM085,106.39825,44328.47709,-149.8439789,-121.3385836,0.506973821,0.39366296,24.79330809,79.15,-1.2921,43.9334
85,SAM086,108.0285,37430.06345,-153.9994089,-124.9942481,0.506973821,0.39366296,24.79330809,79.15,-1.2921,43.9334
86,SAM087,108.98075,50493.96724,-148.9856318,-130.5787729,0.506973821,0.39366296,24.79330809,79.15,-1.2921,43.9334
87,SAM088,86.03725,54630.48864,-117.6201378,-98.01039665,0.578713663,0.389372374,19.6867807,75.99,-1.0839,42.9336
88,SAM089,88.64425,56656.11747,-123.5675413,-96.35205226,0.578713663,0.389372374,19.6867807,75.99,-1.0839,42.9336
89,SAM090,91.21325,64025.39925,-133.4688392,-104.198751,0.466965742,0.317733731,5.733667477,60.16,-1.0528,23.8982
90,SAM091,111.3995,40634.6123,-224.6920654,-200.6038881,0.524294344,0.326172036,0.0,99.86,-1.5333,40.7932
91,SAM092,108.452,41582.7832,-162.9514187,-149.5353936,0.408757664,0.393857301,20.63637079,89.79,-1.7733,42.4001
92,SAM093,66.9665,89342.25459,-71.19252403,-60.84857447,0.472548319,0.391583874,15.52984339,69.56,-1.1358,36.3713
93,SAM094,90.41975,41358.15478,-183.6697501,-140.205735,0.409533699,0.393262129,25.16297253,90.15,-1.412,43.8302
94,SAM095,112.95075,53470.31067,-163.502032,-150.0354632,0.408757664,0.393857301,20.63637079,89.79,-1.7733,42.4001
95,SAM096,101.59725,45599.07549,-189.8467303,-194.511201,0.499556882,0.505436023,10.09050592,90.88,-0.7395,45.8252
96,SAM097,63.84375,59942.8826,-67.94944172,-56.29171123,0.419055567,0.38462032,15.37044016,67.43,-1.1149,43.5694
97,SAM098,59.67675,67343.59899,-65.27430069,-54.87583282,0.389587539,0.382860544,15.37044016,67.43,-1.505,38.9524
98,SAM099,74.7025,52607.57793,-129.8175795,-122.4751665,0.539627534,0.378790372,15.78731903,67.59,-1.0556,39.9781
99,SAM100,116.545,43081.81728,-248.8180979,-236.5093632,0.432478407,0.543896142,20.95152066,99.83,-3.684,32.9368
100,SAM101,120.1215,57711.66346,-173.8717916,-164.5206679,0.509964234,0.369317741,16.20419791,95.41,-1.4734,43.1698
101,SAM102,85.48025,48993.27218,-155.2048167,-135.0488608,0.219778437,0.365133854,4.736862954,72.63,-1.2015,40.8214
102,SAM103,93.27825,64987.64868,-155.0250475,-129.3844724,0.219778437,0.365133854,4.736862954,72.63,-1.2015,40.8214
103,SAM104,112.58475,49322.52555,-179.7240553,-147.2352329,0.517393127,0.334687828,9.799819462,57.58,-1.0934,42.048
104,SAM105,81.7565,57387.69278,-112.7842077,-95.35116848,0.471734095,0.307931626,5.316788604,55.63,-1.2237,29.5237
105,SAM106,101.951,44143.32219,-106.8001118,-90.14202103,0.341383498,0.291827663,0.0,36.09,-1.3587,24.0081
106,SAM107,80.298,56714.89795,-116.1698084,-82.21071658,0.384214418,0.219986049,0.0,87.2,-1.9304,33.838
107,SAM108,89.49125,55590.83828,-90.59944992,-78.23567496,0.49122188,0.389447269,15.7401046,78.43,-1.3805,43.3742
108,SAM109,114.55325,45517.57053,-151.6474165,-131.3777519,0.491205303,0.388479137,15.16017895,58.56,-1.1178,34.4305
109,SAM110,124.09175,52109.34135,-196.3497174,-174.8460923,0.493043682,0.388275646,20.26670635,78.79,-1.0208,44.7823
110,SAM111,122.96725,40448.61142,-161.2482592,-143.444153,0.532311104,0.387893253,19.89704191,67.79,-1.3504,43.0915
111,SAM112,155.915,40897.84824,-244.1578916,-205.7029036,0.387965513,0.342257237,10.63357721,46.33,-1.2143,25.6124
112,SAM113,160.09775,34620.77881,-261.0444918,-228.3626497,0.368118252,0.295720204,0.0,83.55,-1.7361,42.5237
113,SAM114,163.98025,46142.59258,-260.9931608,-235.8242477,0.368118252,0.295720204,0.0,83.55,-1.7361,42.5237
114,SAM115,143.1215,42684.05328,-156.101673,-145.5576542,0.445813188,0.395043285,10.21305479,43.7,-1.1397,26.8016
115,SAM116,147.0335,39581.13247,-245.0256652,-196.2638816,0.387965513,0.342257237,10.63357721,46.33,-1.2143,25.6124
116,SAM117,129.51225,37679.71096,-207.4760825,-190.9207543,0.478056391,0.388709535,10.21305479,60.77,-1.2463,41.5936
117,SAM118,101.887,63190.86306,-110.1458712,-76.9587704,0.467589131,0.388364703,15.19703331,82.03,-1.2107,28.2283
118,SAM119,128.84375,38363.5914,-178.615221,-160.865674,0.48816144,0.367129061,15.78731903,64.35,-1.1498,36.4211
119,SAM120,182.95075,44829.56458,-201.824845,-181.7672237,0.32402012,0.387607573,25.79011262,95.94,-2.2274,36.5428
120,SAM121,164.298,41757.96697,-144.9179435,-124.6461765,0.230248323,0.313472672,5.207253025,87.71,-1.0261,18.6926
121,SAM122,183.66,36184.98125,-198.1123836,-179.0138507,0.32402012,0.387607573,25.79011262,95.94,-2.2274,36.5428
122,SAM123,93.65525,45215.85708,-128.4090758,-112.3355946,0.417443799,0.377456642,15.78731903,64.35,-1.5399,31.8041
123,SAM124,79.6345,40645.06378,-124.0051699,-107.1724814,0.417443799,0.377456642,15.78731903,64.35,-1.5399,31.8041
124,SAM125,169.89175,34320.03968,-192.1013037,-168.7193005,0.284553267,0.394649055,25.74289818,92.95,-2.9668,36.8969
125,SAM126,171.53725,39697.08568,-208.418761,-195.9925912,0.288439898,0.39356653,30.89664001,116.17,-3.255,37.9546
126,SAM127,167.16975,39085.18273,-207.8142837,-187.1645355,0.288439898,0.39356653,30.89664001,116.17,-3.255,37.9546
127,SAM128,172.628,36713.03639,-196.2772535,-178.4290372,0.336112829,0.389106637,16.15698348,75.35,-2.1956,26.9919
128,SAM129,80.25675,69444.7299,-77.74479561,-68.36218546,0.42511108,0.391245684,16.15698348,75.35,-1.5595,33.7229
129,SAM130,134.4615,20357.32779,-224.0980718,-211.9575517,0.468755788,0.361392597,16.0344346,100.87,-1.4888,39.6288
130,SAM131,110.3845,62254.32935,-139.1806413,-130.5384617,0.481688955,0.377415586,16.20419791,78.34,-1.4105,31.5488
131,SAM132,140.61125,45175.73094,-159.5369155,-140.4636045,0.523364294,0.369337816,5.733667477,84.66,-1.1675,29.2811
132,SAM133,69.41875,72721.28509,-119.1528973,-120.6207465,0.523688256,0.378792717,16.20419791,81.58,-1.8688,44.4288
133,SAM134,71.48275,82267.57757,-119.0978935,-115.2204391,0.523688256,0.378792717,16.20419791,81.58,-1.8688,44.4288
134,SAM135,220.519,53630.35741,-1498.802678,-1017.813477,0.355719098,0.777376961,25.81920644,114.02,-2.9412,25.5558
135,SAM136,117.03475,38794.29605,-332.9924716,-289.4543873,0.322405489,0.548206846,30.74769658,111.05,-5.0669,42.7177
136,SAM137,168.3095,33466.22371,-351.4729906,-336.0647361,0.384463193,0.54385304,20.95152066,82.76,-3.6007,28.1798
137,SAM138,161.19475,38325.18026,-301.1116181,-274.5369612,0.382379401,0.549557548,20.95152066,82.76,-3.7432,28.1318
138,SAM139,170.14725,45982.96363,-306.2577811,-292.920714,0.382379401,0.549557548,20.95152066,82.76,-3.7432,28.1318
139,SAM140,172.03425,43416.78846,-198.3028611,-177.0934467,0.302325671,0.387901235,25.79011262,95.94,-2.6159,31.9478
140,SAM141,169.8835,32434.51293,-220.0845699,-188.7254737,0.254395468,0.393567218,30.99736564,128.2,-3.2685,40.658
141,SAM142,166.467,32702.76103,-223.7409322,-195.2683647,0.254395468,0.393567218,30.99736564,128.2,-3.2685,40.658
142,SAM143,161.0455,30770.35791,-221.1835447,-189.1606699,0.254395468,0.393567218,30.99736564,128.2,-3.2685,40.658
143,SAM144,165.81175,30536.54706,-218.7508668,-198.0241387,0.254395468,0.393567218,30.99736564,128.2,-3.2685,40.658
144,SAM145,179.67075,32128.9927,-344.7111257,-336.3134352,0.384463193,0.54385304,20.95152066,82.76,-3.6007,28.1798
145,SAM146,177.817,41011.4596,-350.7569681,-339.7477256,0.384463193,0.54385304,20.95152066,82.76,-3.6007,28.1798
146,SAM147,178.61425,31066.73936,-449.8974508,-395.6597688,0.384463193,0.543895625,20.95152066,82.76,-3.6007,28.1798
147,SAM148,158.3295,37619.96729,-298.9882109,-288.5500715,0.382379401,0.549557548,20.95152066,82.76,-3.7432,28.1318
148,SAM149,158.43,44491.65425,-299.5691114,-277.6399284,0.382379401,0.549557548,20.95152066,82.76,-3.7432,28.1318
149,SAM150,168.83025,44409.66133,-199.0081538,-177.5125856,0.302325671,0.387901235,25.79011262,95.94,-2.6159,31.9478
