SAMindex,TC_mean,ln(-c_interface_mean),c_interface_mean_to1,SAM_length_gm_mean_to1,Water_bending_overlap_factor_to1,Water_stretching_overlap_factor_to1,5P1Z,6P1F,7P2Z,8P1F,9P1F,12P1Z
SAM001,62.717,4.142167212,0.990502831,0.635345732,0.152380999,0.218377897,-9.225239659,4.425201057,-4.018799679,3.738029531,3.412882986,-3.97257814
SAM002,42.50925,4.405382485,0.974799397,0.817771904,0.107614174,0.04312299,-8.057907222,3.567566798,-3.820861305,3.535511767,3.27807731,-3.849451219
SAM003,48.74075,4.250388501,0.984542112,0.392576995,0.177831394,0.022248557,-8.74439366,3.694345367,-3.614187092,3.337828603,3.041340699,-3.605141144
SAM004,64.153,4.252400788,0.984425054,0.506457901,0.169031853,0.035084827,-8.73545204,3.814096156,-3.725137833,3.448767392,3.152802458,-3.716692792
SAM005,54.1965,4.151760273,0.990000123,0.412790823,0.20420366,0.014449223,-9.182654166,4.157754441,-3.781537448,3.501592798,3.179026205,-3.739015916
SAM006,53.86575,4.529605588,0.965824214,0.901614682,0.105720667,0.04236295,-7.514453023,3.307117547,-3.738487212,3.436738496,3.208579551,-3.785634146
SAM007,40.8,4.321720459,0.980245365,0.708648422,0.122777817,0.034610077,-8.42774274,3.742209659,-3.82796118,3.549374602,3.271179583,-3.838357006
SAM008,45.40425,4.407195598,0.974676255,0.583952693,0.108234099,0.056503511,-8.049919554,3.394247592,-3.584564141,3.299025158,3.042031733,-3.613496063
SAM009,70.59275,4.801134364,0.941855355,0.841403235,0.080122695,0.037501518,-6.367571481,2.728677092,-3.335420838,2.982556434,2.811006478,-3.389750172
SAM010,88.6725,4.865442573,0.935160125,0.342303137,0.293833549,0.054487694,-6.107206866,2.166473716,-2.758361952,2.39207876,2.232324912,-2.807314341
SAM011,43.18725,4.095531777,0.992879139,0.66889785,0.098094802,0.014274474,-9.432008246,4.740093634,-4.124960641,3.838819222,3.501032906,-4.059535774
SAM012,48.797,4.278817458,0.982866309,0.592775527,0.204837822,0.024064924,-8.618104974,3.796610134,-3.773234291,3.496422964,3.207286986,-3.772390476
SAM013,38.93,4.486751655,0.969047173,0.912556623,0.077926673,0.069184176,-7.700960853,3.41385857,-3.805990148,3.51061786,3.272581045,-3.847836106
SAM014,57.11225,4.282630504,0.982637896,0.354159068,0.159694547,0.025527848,-8.601173674,3.525716303,-3.529137764,3.252220374,2.964064413,-3.529347617
SAM015,66.505,4.234671669,0.985448326,0.709004499,0.103741512,0.020597649,-8.814240273,4.050782196,-3.953593992,3.677219539,3.376633839,-3.939746055
SAM016,200.10075,5.42539223,0.854475997,0.2030659,0.557383249,0.053597541,-4.091232824,1.052698766,-1.975276342,1.502606406,1.417611086,-1.996265666
SAM017,141.76525,5.088760411,0.908262934,0.470723737,0.132741912,0.222124314,-5.245539373,1.96436188,-2.623424755,2.211265835,2.08743514,-2.624750857
SAM018,160.934,4.863707912,0.935346431,0.103938813,0.073975075,0.027545355,-6.114163618,1.573502507,-2.522086739,2.156166853,1.996103222,-2.571224153
SAM019,142.40925,4.993501224,0.920474183,0.334291535,0.142918108,0.456645621,-5.604535588,1.942655603,-2.598053037,2.205102232,2.066914215,-2.626317407
SAM020,173.88075,5.687420547,0.798104405,0.175416927,0.223946226,0.12711258,-3.324504625,0.619069955,-1.661184786,1.137206198,1.065171607,-1.793691769
SAM021,205.80975,5.31538428,0.874079188,0.150934755,0.174739558,0.773918349,-4.44796504,1.060110675,-2.045699499,1.591662261,1.496095663,-1.991988287
SAM022,146.33975,4.87081034,0.934581565,0.231559709,0.069690104,0.107619143,-6.085703728,1.961854951,-2.641158623,2.273751057,2.114952837,-2.689523841
SAM023,152.556,4.828588609,0.939049633,0.111005735,0.073179735,0.020103926,-6.255807505,1.66733,-2.57161098,2.213034826,2.046598984,-2.624010382
SAM024,92.0455,6.196386609,0.635827761,0.659302042,0.374951578,0.275008229,-2.159485157,0.583957112,-1.604493584,1.878254152,1.96356898,-1.864506902
SAM025,102.28675,5.132223449,0.902293043,0.704704423,0.054652976,0.068872519,-5.086261575,2.099826563,-2.807293023,2.386658713,2.268896606,-2.791338031
SAM026,105.50575,5.139834813,0.901220619,0.756285977,0.062296611,0.077686277,-5.058668415,2.123646617,-2.850132604,2.42803516,2.311304546,-2.83069852
SAM027,136.4385,5.15136447,0.89958049,0.336362732,0.155746879,0.05325841,-5.017042671,1.701169418,-2.416985767,1.992684342,1.877498436,-2.391967817
SAM028,148.081,5.101478231,0.906542843,0.421915182,0.14267672,0.290177143,-5.19863312,1.89011927,-2.559918072,2.145258426,2.023234859,-2.556593982
SAM029,189.36725,5.555032651,0.828428427,0.164140989,0.113767959,0.255743639,-3.697231195,0.766603337,-1.793758836,1.29867867,1.222957483,-1.876131212
SAM030,148.328,4.891804954,0.932288615,0.227683012,0.067480301,0.12189698,-6.001951214,1.917748884,-2.61208273,2.240277071,2.085173364,-2.657935064
SAM031,154.28875,5.022903868,0.916828403,0.289960715,0.207517419,0.189384592,-5.492311711,1.82474114,-2.519253642,2.12029305,1.986690815,-2.540483501
SAM032,185.1475,5.695511275,0.796117785,0.229581176,0.812450191,0.485542065,-3.302691906,0.742624678,-1.706609739,1.180382725,1.108223957,-1.841894979
SAM033,77.066,4.531947436,0.965644077,0.489243463,0.428299346,0.17070132,-7.504294976,2.99610427,-3.323047152,3.020931158,2.793305033,-3.370451002
SAM034,118.3065,5.153737158,0.899240615,0.335881747,0.143470039,0.014083473,-5.008502336,1.696889484,-2.413786267,1.989033146,1.874162464,-2.387568376
SAM035,123.254,4.811271858,0.9408283,0.403686474,0.461823601,0.075686861,-6.326199112,2.343411212,-2.885343324,2.53037401,2.360725943,-2.939021721
SAM036,123.7795,4.816559178,0.940288483,0.402648839,0.472424993,0.07177409,-6.304668732,2.332758794,-2.877869658,2.521800447,2.353138065,-2.931180055
SAM037,190.9025,5.505577528,0.838765326,0.191693135,0.349473891,0.171661575,-3.84414642,0.912340253,-1.875490627,1.38922292,1.310436157,-1.936319918
SAM038,198.18425,5.368779097,0.864833462,0.257425241,0.589205836,0.227293911,-4.272269389,1.25100405,-2.092513416,1.629358541,1.539197774,-2.079612373
SAM039,128.26475,4.994055093,0.920406492,0.324210336,0.177120642,0.118110338,-5.602410164,1.926458029,-2.587320916,2.194256337,2.056155972,-2.615461849
SAM040,155.1605,5.231773404,0.887600822,0.384118568,0.102060911,0.125260943,-4.732601465,1.648272358,-2.37311945,1.933870161,1.828857407,-2.290710757
SAM041,148.41975,5.2514992,0.884511885,0.631101752,0.097487295,0.115364404,-4.664413763,1.867711326,-2.597779014,2.154975051,2.052296214,-2.487060773
SAM042,154.39325,5.192181121,0.89361984,0.331052798,0.14341064,0.046710114,-4.871365293,1.63228712,-2.365038869,1.933056869,1.823166595,-2.316299346
SAM043,144.279,5.218283634,0.889678425,0.326300845,0.143325514,0.060551386,-4.779596692,1.586509714,-2.330601776,1.893808473,1.787162704,-2.261597318
SAM044,156.47425,5.239748774,0.886359262,0.501600263,0.099668389,0.118447981,-4.704956043,1.770027156,-2.481568459,2.040876782,1.936815403,-2.389558
SAM045,131.09375,5.080626226,0.909351672,0.320405473,0.078451174,0.10964378,-5.275668813,1.784548303,-2.482522625,2.07197179,1.946971687,-2.486668994
SAM046,153.00625,4.944452747,0.926322381,0.226531834,0.068528977,0.094791638,-5.794457232,1.827598866,-2.548192622,2.165388436,2.019245536,-2.586135424
SAM047,148.63225,4.970603197,0.9232401,0.222068556,0.069504687,0.10521365,-5.692783294,1.775021129,-2.512796321,2.124566086,1.982711748,-2.545878965
SAM048,152.11725,4.885877583,0.932940864,0.141650224,0.069870839,0.030044486,-6.025539796,1.690477206,-2.533153677,2.162589583,2.006449786,-2.579750865
SAM049,164.192,4.86245562,0.935480729,0.109244414,0.072219462,0.027114074,-6.119188205,1.600545504,-2.528900979,2.163243354,2.002955793,-2.57817054
SAM050,152.6485,4.947305021,0.925990094,0.226475033,0.068038127,0.102570961,-5.783321892,1.822796509,-2.544754679,2.161357121,2.015687229,-2.582199014
SAM051,144.48675,4.882186582,0.933345073,0.223629107,0.066113799,0.122059981,-6.040251296,1.925051233,-2.619560317,2.249769452,2.092981703,-2.666607147
SAM052,222.5885,5.586769178,0.821520577,0,0.538863223,0.18093574,-3.60515581,0,-1.594981346,1.093886618,1.019753731,-1.690268582
SAM053,164.7975,5.1512914,0.899590944,0.355226736,0.343312397,0.55706059,-5.017305819,1.728562305,-2.435933506,2.011646001,1.896450373,-2.41095222
SAM054,153.09925,5.110391165,0.90532426,0.560314703,0.235730918,0.100044292,-5.165907273,2.018350259,-2.688034044,2.271631898,2.150859346,-2.681262633
SAM055,167.82075,5.501267494,0.839642207,0.441383757,0.407990641,0.261829112,-3.857148323,1.335310254,-2.129915292,1.64439356,1.565309685,-2.188773598
SAM056,143.0795,4.938508104,0.927011887,0.263736161,0.094529689,0.185573712,-5.817700767,1.913400529,-2.592449611,2.21088318,2.063750321,-2.631407208
SAM057,240.311,5.858864023,0.752369236,0.207596943,0.475088023,0.535588616,-2.885737524,0.470844939,-1.509316159,0.891567729,0.207596943,-1.695084423
SAM058,77.07575,4.375974799,0.976765824,0.348952352,0.478958034,0.108492648,-8.187642766,3.223989889,-3.392466901,3.109949139,2.845307576,-3.41520476
SAM059,162.82475,5.106300202,0.905884928,0.354553762,0.067788655,0.077551811,-5.180913057,1.795774982,-2.486991416,2.071388019,1.950042845,-2.481822456
SAM060,163.94175,5.263325858,0.882630475,0.337889594,0.082447404,0.10715409,-4.623836478,1.538135002,-2.291210225,1.84629543,1.744984965,-2.161170265
SAM061,138.26825,4.878812382,0.933713286,0.355373559,0.058356966,0.08296596,-6.053715359,2.162375974,-2.755355358,2.386271389,2.228889439,-2.8028038
SAM062,142.36,4.938782109,0.926980196,0.327502898,0.298556833,0.186282596,-5.816628363,2.021223397,-2.655891101,2.274267589,2.127180482,-2.694802634
SAM063,187.5105,5.33471716,0.87078842,0.203416413,0.287561839,1,-4.383798414,1.181673361,-2.076530392,1.619168106,1.525616672,-2.039124131
SAM064,158.6075,5.126943536,0.90303219,0.320867519,0.155804098,0.298713757,-5.105455509,1.714447632,-2.429526149,2.009910572,1.891427448,-2.415895827
SAM065,141.4815,4.873956223,0.934241043,0.229477535,0.072864218,0.102213575,-6.073118307,1.951966697,-2.635293774,2.267227175,2.108986931,-2.683304527
SAM066,136.882,5.24313978,0.885828361,0.468462992,0.065686389,0.129306461,-4.693232977,1.730899545,-2.444593504,2.00329069,1.899630639,-2.34791587
SAM067,163.522,5.140218967,0.901166276,0.36546363,0.053323049,0.053768507,-5.057278153,1.759440588,-2.458869302,2.036698184,1.920019383,-2.439255435
SAM068,76.511,4.180879779,0.98844429,0.230593917,0.18377058,0.43373078,-9.053312421,3.721221198,-3.555146961,3.277161948,2.96238188,-3.523357676
SAM069,155.9785,5.056145716,0.91257539,0.376143855,0.051886978,0.065557878,-5.366945903,1.902693062,-2.56667339,2.161001218,2.032417827,-2.578652511
SAM070,122.08875,5.071335826,0.91058438,0.369171626,0.230125522,0.438186932,-5.31020297,1.86974427,-2.542058196,2.133352051,2.007003364,-2.549288638
SAM071,74.39125,4.387450081,0.97600537,0.260076743,0.110346233,0.199388851,-8.136979283,3.044416943,-3.287763765,3.004196044,2.742378761,-3.312853876
SAM072,90.64,4.777126403,0.944246535,0.458298772,0.408404097,0.158075132,-6.466023212,2.468151866,-2.981700682,2.633796134,2.457679323,-3.037290014
SAM073,85.97725,4.64785502,0.956180018,0.451572398,0.41716402,0.177466348,-7.006673392,2.70783469,-3.136108156,2.813830227,2.611634846,-3.192030263
SAM074,109.71725,4.905740835,0.930739793,0.429837492,0.729030428,0.479665155,-5.946671231,2.212037597,-2.79756825,2.422845043,2.270155624,-2.841556831
SAM075,64.89475,4.297643979,0.98173003,0.345712528,0.402263291,0.139212299,-8.534529977,3.462217407,-3.499201899,3.221766795,2.937455261,-3.503455707
SAM076,77.432,4.137229172,0.990759727,0.335858764,0.136295374,0.211363961,-9.247154742,4.134013548,-3.726912858,3.445681816,3.119204473,-3.678754221
SAM077,94.521,4.328561331,0.979816964,0.421457317,0.40130426,0.575339183,-8.397424231,3.460717018,-3.531121704,3.252138613,2.975670305,-3.543186865
SAM078,116.328,5.172105298,0.896582014,0.462649295,0.381638501,0.123917238,-4.942687441,1.829497142,-2.519540017,2.091311831,1.978850635,-2.483360112
SAM079,105.82,4.841273339,0.937727054,0.302280003,0.13804587,0.246977022,-6.204472939,2.146051502,-2.747514082,2.38628884,2.222176627,-2.798840208
SAM080,106.954,4.991501606,0.920718254,0.412509298,0.200436739,0.015981809,-5.612212559,2.050982772,-2.678621329,2.286081453,2.147576579,-2.707328562
SAM081,92.53725,4.712310149,0.950422697,0.286722416,0.189819894,0.075205433,-6.734986282,2.354285294,-2.890274861,2.555503934,2.366621637,-2.947358732
SAM082,117.593,5.196487848,0.892976601,0.399268463,0.585457848,0.233118736,-4.856148784,1.719583533,-2.428349345,1.995568118,1.886220827,-2.376627128
SAM083,117.0365,5.179569548,0.895487607,0.402947289,0.544904162,0.230539396,-4.916094752,1.74928908,-2.451314413,2.021685123,1.91018745,-2.410697416
SAM084,108.67025,4.912968326,0.929927995,0.583409724,0.075809561,0.099318287,-5.91810162,2.352694982,-2.942513366,2.566278318,2.414829019,-2.985471879
SAM085,106.39825,4.909645076,0.930301994,0.588016706,0.072358496,0.113055069,-5.931229591,2.362178069,-2.951085655,2.57554563,2.423527133,-2.994523262
SAM086,108.0285,4.938041866,0.927065792,0.559349984,0.072897931,0.107037715,-5.819525789,2.29008113,-2.888616907,2.507147612,2.359936874,-2.92765273
SAM087,108.98075,4.940085514,0.926829326,0.637243766,0.071628844,0.103779563,-5.811528429,2.351906701,-2.964085031,2.582190027,2.435320396,-3.002776505
SAM088,86.03725,4.680419274,0.953317665,0.496111558,0.089512125,0.05390807,-6.8689134,2.690103899,-3.139565381,2.811062631,2.615669378,-3.196397967
SAM089,88.64425,4.700114815,0.951540672,0.497352652,0.096023584,0.058497566,-6.786082404,2.653068841,-3.11612604,2.78377013,2.592415721,-3.173189291
SAM090,91.21325,4.777725837,0.944187528,0.256724159,0.168057698,0.363585391,-6.463557102,2.177303565,-2.779390466,2.431362574,2.255360859,-2.834953092
SAM091,111.3995,5.359638107,0.866451522,0.446864705,0.307537148,0.270496217,-4.302008261,1.539722536,-2.292142879,1.830535414,1.739485015,-2.273064652
SAM092,108.452,5.051415087,0.913189296,0.367847329,0.293599314,0.157829334,-5.384687372,1.898919252,-2.563880266,2.159157334,2.029870469,-2.577268002
SAM093,66.9665,4.189966046,0.987949471,0.365447148,0.168118627,0.116707174,-9.012936709,3.909274175,-3.67634453,3.398809016,3.0864443,-3.647754158
SAM094,90.41975,5.087211956,0.908470873,0.755672806,0.082313387,0.114417694,-5.251267204,2.203412317,-2.910165383,2.49831207,2.374259579,-2.912037306
SAM095,112.95075,5.054771774,0.912753989,0.36082093,0.284531898,0.143533359,-5.372095224,1.884039465,-2.552948406,2.147551717,2.01876438,-2.565339969
SAM096,101.59725,5.258427051,0.883412488,0.627418958,0.184704908,0.408694189,-4.640616485,1.85470141,-2.586269659,2.142227385,2.040352941,-2.457180332
SAM097,63.84375,4.129077278,0.991181054,0.50829836,0.241087736,0.085110336,-9.283323275,4.388083815,-3.911943641,3.629897298,3.301218991,-3.860538221
SAM098,59.67675,4.095594893,0.992875997,0.382967402,0.209342945,0.067424884,-9.431728733,4.460810169,-3.838930622,3.552798063,3.21502896,-3.773533154
SAM099,74.7025,4.837442923,0.938128203,0.424557267,0.109258679,0.292120081,-6.219953895,2.322572266,-2.874428633,2.514003851,2.349192593,-2.926091177
SAM100,116.545,5.49167666,0.841579964,0.261361454,0.362934192,0.282810432,-3.886194581,1.086581888,-1.960434584,1.476563745,1.39680282,-2.014846942
SAM101,120.1215,5.131059164,0.902456369,0.322793365,0.248797538,0.216955385,-5.09049034,1.711205463,-2.426720065,2.006310133,1.888389418,-2.411283753
SAM102,85.48025,4.97760811,0.922400671,0.592399847,0.137707237,0.242277197,-5.665708644,2.254293828,-2.874866485,2.485188795,2.344464869,-2.906533019
SAM103,93.27825,4.957267991,0.924821954,0.485239426,0.137005524,0.231478076,-5.744513512,2.187517076,-2.791722742,2.406255352,2.262227599,-2.827365991
SAM104,112.58475,5.096688482,0.907193228,0.393347379,0.086598858,0.017200017,-5.216269918,1.86239994,-2.536882421,2.12316263,2.000461511,-2.535345488
SAM105,81.7565,4.645041535,0.956422972,0.189690039,0.088587634,0.279339115,-7.018621186,2.279848393,-2.877791763,2.55604217,2.353251893,-2.933604485
SAM106,101.951,4.589762763,0.961060427,0.114877141,0.04388349,0.692716712,-7.254752797,2.144004947,-2.873602983,2.561876279,2.347168834,-2.926282666
SAM107,80.298,4.597039849,0.960464489,0.333221987,0.009306412,0,-7.223522742,2.66098147,-3.082588031,2.769584079,2.556470085,-3.135786935
SAM108,89.49125,4.435775466,0.972705397,0.50657319,0.108209869,0.246350635,-7.924200151,3.247217956,-3.46833904,3.17959906,2.929505488,-3.502377974
SAM109,114.55325,4.952388647,0.925395503,0.317758119,0.077210371,0.086661641,-5.76350287,1.98380552,-2.630015968,2.24556171,2.100731681,-2.666553035
SAM110,124.09175,5.223582532,0.888865665,0.459184142,0.087016815,0.200961131,-4.761101408,1.749537243,-2.457471775,2.019711282,1.913710541,-2.383530118
SAM111,122.96725,5.026155603,0.916418582,0.421306385,0.069364059,0.079727963,-5.479977025,2.006412956,-2.64679796,2.24717674,2.114073219,-2.667186756
SAM112,155.915,5.41579101,0.856274101,0.119691847,0.337333887,0.197407334,-4.121552872,0.80185048,-1.902538417,1.43147808,1.345649635,-1.918207093
SAM113,160.09775,5.500047563,0.839889718,0.358327283,0.27276399,0.10144561,-3.860834209,1.232764057,-2.048199129,1.56288806,1.483719276,-2.106496567
SAM114,163.98025,5.515075391,0.836819582,0.358050793,0.258891516,0.091412563,-3.815606731,1.211607223,-2.031423097,1.543501378,1.465353282,-2.096539218
SAM115,143.1215,5.016151144,0.917675214,0.190734559,0.03372344,0.132208157,-5.517975539,1.625998411,-2.427928278,2.030342243,1.895698976,-2.450863267
SAM116,147.0335,5.396554048,0.859825242,0.126002686,0.347213016,0.203204274,-4.182772836,0.854576467,-1.930193211,1.462360135,1.374808954,-1.934728164
SAM117,129.51225,5.294301405,0.877596052,0.701886092,0.099224632,0.084855276,-4.518649773,1.858862387,-2.620319343,2.169944954,2.072107477,-2.545299311
SAM118,101.887,4.538520861,0.965136182,0.250441182,0.081778783,0.291687338,-7.475801751,2.646349562,-3.075642663,2.772485968,2.546351518,-3.123749621
SAM119,128.84375,5.134270491,0.902005421,0.230856434,0.266332059,0.304984075,-5.078831647,1.538739274,-2.331092944,1.910064497,1.792580723,-2.314217484
SAM120,182.95075,5.256432487,0.883729791,0.279176526,0.099013684,0.441481477,-4.647459783,1.45271745,-2.240279812,1.796593524,1.694488309,-2.117838298
SAM121,164.298,4.903659104,0.930972528,0.083080417,0.207391039,0.611436991,-5.954912822,1.393727977,-2.45329828,2.079010712,1.925962583,-2.497575433
SAM122,183.66,5.23943279,0.886408641,0.288876829,0.103960648,0.429438157,-4.706049381,1.494587507,-2.269202717,1.828568052,1.724469179,-2.177606332
SAM123,93.65525,4.790589732,0.942912668,0.208623832,0.361424623,0.163797794,-6.410731836,2.050314956,-2.715527993,2.364846769,2.191301829,-2.770459078
SAM124,79.6345,4.750039288,0.946876364,0.208091778,0.367946446,0.167646118,-6.577876953,2.123076076,-2.764840012,2.422477324,2.241102675,-2.821386791
SAM125,169.89175,5.195233713,0.8931642,0.358625538,0.043167231,0.239755595,-4.860576811,1.667763373,-2.389134522,1.956585812,1.847080714,-2.338293031
SAM126,171.53725,5.309285378,0.875104187,0.337504883,0.068596468,0.284745057,-4.468336902,1.471223079,-2.239110222,1.786128441,1.689912732,-2.179710821
SAM127,167.16975,5.285684961,0.879012165,0.337975059,0.071272786,0.302713287,-4.547750459,1.505888229,-2.266099242,1.817233861,1.718446524,-2.180535915
SAM128,172.628,5.232995314,0.887411244,0.131694221,0.274841367,0.143239858,-4.728359195,1.111248176,-2.119310583,1.679839843,1.57497353,-2.035531824
SAM129,80.25675,4.29119192,0.982121857,0.313648234,0.204161555,0.195875,-8.563165711,3.435428392,-3.476355622,3.199162362,2.913201493,-3.47889191
SAM130,134.4615,5.384622632,0.8619937,0.330250658,0.477937541,0.369926724,-4.221058543,1.353169378,-2.147702218,1.681875119,1.59322036,-2.144967741
SAM131,110.3845,4.904233878,0.930908317,0.255547912,0.156082982,0.461177549,-5.952636707,1.954564557,-2.625078971,2.250671113,2.097722093,-2.669276808
SAM132,140.61125,5.010637027,0.918362472,0.255948584,0.076504439,0.395623044,-5.538980866,1.781797493,-2.499600664,2.103139655,1.967640925,-2.523887454
SAM133,69.41875,4.786548147,0.943314972,0.405464178,0.190719556,0.138276104,-6.427308269,2.389848148,-2.917315577,2.567469238,2.393155147,-2.972457153
SAM134,71.48275,4.763533406,0.945575154,0.406608403,0.195156393,0.137668527,-6.522053398,2.433131677,-2.946718257,2.601602913,2.422861478,-3.002848744
SAM135,220.519,7.137523302,0,0.318053764,1,0.417497246,-0.91,0,-0.293914582,-0.518196007,0.478632282,-1.257734561
SAM136,117.03475,5.740511077,0.784770246,0.926552254,0.32457868,0.430273554,-3.183386766,1.37917096,-2.355075246,1.814441415,1.740139729,-2.505302126
SAM137,168.3095,5.839969523,0.757802553,0.188980603,0.518933995,0.506602752,-2.931704084,0.449483002,-1.510872687,0.913768804,0.799149187,-1.69130933
SAM138,161.19475,5.662350189,0.804159166,0.190432958,0.247593133,0.645959827,-3.392798541,0.694225076,-1.703317262,1.185814994,1.113814634,-1.827027157
SAM139,170.14725,5.702412362,0.794410524,0.191055025,0.248291008,0.606734711,-3.284173904,0.641405736,-1.660633754,1.132418354,1.06010218,-1.798266036
SAM140,172.03425,5.234835108,0.887125364,0.280666268,0.046291788,0.296585925,-4.721976295,1.48689614,-2.266198418,1.826394562,1.721748277,-2.180294182
SAM141,169.8835,5.320103427,0.873281773,0.563154691,0.058557824,0.47936851,-4.432244428,1.711705233,-2.452629856,1.997778144,1.902709419,-2.403118431
SAM142,166.467,5.344745928,0.869056136,0.554844522,0.062110714,0.493422245,-4.350758822,1.669099707,-2.416746959,1.957671228,1.865139468,-2.387013858
SAM143,161.0455,5.323849175,0.872646153,0.656007775,0.063234843,0.413015285,-4.419792885,1.782655087,-2.541286561,2.085789708,1.991113423,-2.494998833
SAM144,165.81175,5.339399341,0.869981822,0.600868401,0.060990667,0.438690926,-4.368352083,1.716558051,-2.468746343,2.010583184,1.917510008,-2.434978566
SAM145,179.67075,5.830451191,0.760501012,0.191551213,0.500096744,0.526272648,-2.955081983,0.469138279,-1.523615458,0.934834207,0.831822994,-1.701318442
SAM146,177.817,5.84427559,0.756573313,0.191252246,0.507908049,0.520923691,-2.92117684,0.449620759,-1.508544646,0.907284726,0.785046614,-1.690207431
SAM147,178.61425,6.046848661,0.69233375,0.229371732,0.487885187,0.592403888,-2.459617091,0.264317206,-1.331693471,1.122260123,1.194270435,-1.563818046
SAM148,158.3295,5.682794225,0.799233162,0.189584602,0.238719414,0.65244155,-3.337027012,0.664191529,-1.68035219,1.157621947,1.085631488,-1.811257447
SAM149,158.43,5.665057308,0.803512654,0.186452899,0.24493309,0.687617084,-3.385372777,0.679981008,-1.696406462,1.178236858,1.106255411,-1.821080324
