SAMindex,TC_mean,ln(-c_interface_mean),c_interface_mean_to1,SAM_length_gm_mean_to1,Water_bending_overlap_factor_to1,Water_stretching_overlap_factor_to1,5P1Z,6P1F,7P2Z,8P1F,9P1F,12P1Z
SAM150,168.83025,5.23782595,0.886659502,0.290246606,0.044250526,0.266510001,-4.711611742,1.499302309,-2.272391662,1.832047087,1.727757297,-2.18285252
SAM151,166.65775,5.25283178,0.884301006,0.285149236,0.118238534,0.207737438,-4.659830229,1.468543017,-2.250320504,1.807277947,1.704754455,-2.136828499
SAM152,160.97275,5.570730429,0.825039009,0.287916856,0.724051223,0.485862925,-3.651472901,1.026028889,-1.900389963,1.40237976,1.327485406,-1.989231101
SAM153,172.12175,5.575958239,0.823898374,0.30094278,0.752554192,0.478286823,-3.636327605,1.040985382,-1.907711675,1.40870698,1.334070449,-1.998671527
SAM154,75.65225,4.231644608,0.985621232,0.30175854,0.20681845,0.213370591,-8.827693988,3.635705714,-3.550793141,3.274392972,2.973015389,-3.535998021
SAM155,91.33775,4.41002029,0.974483964,0.28789085,0.211471946,0.211217796,-8.037478124,3.032965458,-3.284645116,2.998807669,2.74250056,-3.314105549
SAM156,158.6205,5.189015631,0.894090864,0.527797143,0.048150284,0.066721151,-4.882568493,1.870200316,-2.565390453,2.133997257,2.023705959,-2.518771263
SAM157,122.99425,5.113436263,0.904905436,0.402644311,0.295411234,0.265077171,-5.154754416,1.848486207,-2.5268535,2.109857964,1.989509898,-2.518866364
SAM158,157.1895,5.149344698,0.899869176,0.525048102,0.048510922,0.060288997,-5.024319644,1.926855835,-2.607986033,2.184069618,2.06861466,-2.583975354
SAM159,198.7365,5.665329313,0.803447597,0.190751879,0.562030551,0.198135934,-3.384627339,0.691008386,-1.700411004,1.182173952,1.110194128,-1.825181531
SAM160,134.9855,5.32426774,0.872574978,0.64737013,0.1014555,0.082144322,-4.418402949,1.775429291,-2.532180112,2.076611239,1.981978656,-2.486247012
SAM161,110.51525,4.692895961,0.952196046,0.531967233,0.110224009,0.303561639,-6.816397801,2.70066804,-3.159772285,2.828835685,2.63600758,-3.216779191
SAM162,89.51275,4.583274526,0.96158812,0.456845522,0.274945318,0.491027053,-7.282632771,2.848162896,-3.223933076,2.913333331,2.69719895,-3.276122551
SAM163,85.0655,4.519915565,0.966565113,0.461577941,0.285448446,0.479436491,-7.556523596,2.994648105,-3.31117251,3.0109236,2.780552215,-3.357220424
SAM164,117.6,4.985345455,0.921466611,0.249121169,0.451812246,0.108137914,-5.635882921,1.808707809,-2.522474897,2.131201761,1.991717409,-2.552518529
SAM165,86.02025,4.609125147,0.959465163,0.460260053,0.268737987,0.476645953,-7.171752343,2.7969934,-3.194124685,2.878969719,2.668485639,-3.248114421
SAM166,107.991,4.975907264,0.922605031,0.445559509,0.298680374,0.16621315,-5.672276256,2.1146146,-2.730031052,2.340704556,2.199706872,-2.762046021
SAM167,115.273,4.985099141,0.921496458,0.443987436,0.281575922,0.187206836,-5.636831116,2.098032343,-2.717631078,2.326408676,2.186885009,-2.74772734
SAM168,79.332,4.365437054,0.977456504,0.491715407,0.197694149,0.068073798,-8.234207548,3.426002015,-3.549825626,3.268207579,3.000959201,-3.57032508
SAM169,121.14075,5.075100872,0.91008619,0.372350854,0.432796839,0.149146304,-5.296191947,1.868206226,-2.540871067,2.131416321,2.005615828,-2.546868744
SAM170,115.7845,4.77958433,0.944004357,0.163256314,0.296842497,0.09252745,-6.455913712,1.947590583,-2.683642586,2.335232102,2.159586883,-2.739120878
SAM171,112.68575,5.254117929,0.884097208,0.375445729,0.145964619,0.123484812,-4.655409154,1.604220862,-2.339163723,1.895891069,1.79351723,-2.22276435
SAM172,112.84125,4.900840436,0.931286881,0.239786563,0.112352369,0.480534117,-5.966080996,1.928429294,-2.613373585,2.239675989,2.086141082,-2.658035736
SAM173,113.0645,4.99593694,0.920176222,0.375843781,0.311216603,0.081842858,-5.595191992,1.9973363,-2.636743235,2.243292241,2.105489326,-2.664462262
SAM174,118.2965,5.091459522,0.907899704,0.410846941,0.117676818,0.06388112,-5.235563858,1.892188126,-2.560426125,2.147735083,2.024290084,-2.560790492
SAM175,110.948,4.987110444,0.921252525,0.408718404,0.109478052,0.010701082,-5.629091065,2.053414384,-2.679995105,2.288358542,2.149155625,-2.709659725
SAM176,86.002,4.797241667,0.942246975,0.251980548,0.439789405,0.171225919,-6.383489787,2.132781375,-2.750751884,2.398694224,2.226409774,-2.805312253
SAM177,73.58425,4.801447086,0.941823828,0.515491779,0.328916753,0.109751739,-6.366293444,2.483143623,-3.009127668,2.656198416,2.484707365,-3.063437989
SAM178,84.21575,4.41401317,0.97421122,0.302521287,0.366406464,0.2020752,-8.019897114,3.046978821,-3.293829949,3.007563757,2.752225178,-3.324028529
SAM179,74.42025,4.328224429,0.979838131,0.308628273,0.348836071,0.229572169,-8.398917125,3.305986607,-3.4187672,3.139804335,2.863251106,-3.430750925
SAM180,110.87125,5.159303244,0.898440131,0.417506498,0.332021703,0.019200637,-4.988502303,1.797309468,-2.489037336,2.063227098,1.949092326,-2.459930882
SAM181,119.86425,5.192448041,0.893580054,0.394699465,0.333333621,0.017741741,-4.870421347,1.719814725,-2.428381438,1.996349842,1.886493308,-2.379460413
SAM182,82.61525,4.405689139,0.974778586,0.306147696,0.361838581,0.212859788,-8.056556193,3.075472797,-3.308817891,3.023436431,2.766076592,-3.3374658
SAM183,75.4845,4.375679987,0.976785246,0.29153069,0.356039343,0.200496163,-8.188944975,3.134941014,-3.335452774,3.052961031,2.78824671,-3.358129033
SAM184,70.9445,4.773409266,0.944611655,0.516452206,0.330434724,0.117041189,-6.481324806,2.534644413,-3.044417907,2.697277604,2.520445851,-3.100167466
SAM185,83.20275,4.741551638,0.947685861,0.399389903,0.157846224,0.118631187,-6.613090148,2.464834225,-2.9666305,2.625989931,2.442944945,-3.023378101
SAM186,102.002,4.976394785,0.92254649,0.508153626,0.103463187,0.001025084,-5.670393341,2.179553692,-2.792050433,2.402623255,2.261704087,-2.823965831
SAM187,117.39975,4.731542968,0.948631637,0.404718403,0.059619935,0.046917878,-6.654712058,2.490199437,-2.984358853,2.645738926,2.460710361,-3.04128329
SAM188,115.81225,4.712994493,0.950359556,0.400690743,0.065936156,0.040081172,-6.732123421,2.520317261,-3.003390413,2.66848335,2.479739124,-3.060472653
SAM189,116.6605,4.725588427,0.949189841,0.402634434,0.064380129,0.046477032,-6.679524399,2.498835915,-2.989666179,2.652242876,2.466027084,-3.046665234
SAM190,117.5195,4.718225089,0.94987553,0.400934382,0.064589881,0.050646377,-6.710257893,2.510665238,-2.997120892,2.661171261,2.47348003,-3.054180849
SAM191,116.57475,4.68728812,0.952701907,0.404676702,0.061470956,0.052158045,-6.839983087,2.574823113,-3.0395092,2.709669625,2.515691404,-3.096449788
SAM192,104.15825,5.003994171,0.919185394,0.171538545,0,0.26149218,-5.564343976,1.592286056,-2.422979138,2.027876431,1.891340709,-2.448847306
SAM193,109.14,4.915772256,0.929611472,0.324184462,0.212929506,0.197232219,-5.907036469,2.054231371,-2.679944424,2.303123158,2.152152759,-2.72249142
SAM194,95.9265,4.762388085,0.945686278,0.213669436,0.31260609,0.09378534,-6.526783728,2.113523543,-2.755189454,2.410308403,2.231344542,-2.811359931
SAM195,114.667,5.521711249,0.835449144,0.627483206,0.083969291,0.012028429,-3.795758511,1.482969941,-2.293577471,1.804490963,1.726775632,-2.361644142
SAM196,114.02725,4.39456268,0.975529626,0.379808049,0.080355534,0.560018616,-8.105601534,3.213885673,-3.397719175,3.113464939,2.853390544,-3.424222988
SAM197,77.1865,3.941146824,1,0.460936084,0.107291349,0.310509498,-10.11111111,0,-4.172761167,3.849838515,3.469255352,-4.027357847
SAM198,101.528,4.629690425,0.957736624,0.220391388,0.115655268,0.313187769,-7.083935251,2.38614571,-2.92799769,2.60910181,2.4030456,-2.983127944
SAM199,108.5405,4.529645162,0.965821173,0.21632914,0.066361785,0.443031901,-7.51428131,2.593333903,-3.053149785,2.751394877,2.523244944,-3.100301089
SAM200,100.34075,4.527463729,0.965988599,0.096687152,0.661135328,0.496108047,-7.523746832,2.195670379,-2.936368413,2.634953985,2.406307082,-2.98327741
SAM201,77.5845,4.782159076,0.943750028,0.508655627,0.08329165,0.252529984,-6.445330955,2.511150382,-3.025884714,2.676943757,2.501791561,-3.081242328
SAM202,115.9935,4.889273533,0.932567646,0.14391809,0.121803322,0.537740378,-6.012019726,1.692671145,-2.531350599,2.160075148,2.004529627,-2.577524492
SAM203,123.3615,5.201596941,0.892209922,0.281368443,0.16332965,0.352064887,-4.838135885,1.537039559,-2.304634069,1.870907487,1.762200417,-2.249213375
SAM204,76.6275,4.461613162,0.970874503,0.234971196,0.104688819,0.749678101,-7.810877052,2.797252503,-3.161954061,2.86999185,2.626050132,-3.200156245
SAM205,115.5685,4.885359885,0.932997648,0.277632193,0.265234371,0.220728004,-6.027602166,2.027822612,-2.669756483,2.299300837,2.143070288,-2.716417391
SAM206,90.3335,4.741954657,0.947647579,0.285820017,0.383674627,0.297342851,-6.611416387,2.296794785,-2.852561931,2.511839763,2.328874334,-2.909301055
SAM207,92.11925,4.482913751,0.969329132,0.077864585,0.105571624,0.112886254,-7.717718762,2.192514876,-2.976401938,2.681566922,2.442633814,-3.017717329
SAM208,72.40075,4.676580213,0.95365998,0.31527042,0.252755941,0.101114414,-6.885102563,2.470956822,-2.963549392,2.635790393,2.439603253,-3.020308807
SAM209,82.39825,4.770840165,0.944863215,0.316184647,0.260185174,0.116771774,-6.491909488,2.294000194,-2.847306867,2.500694123,2.323367012,-2.903161767
SAM210,102.63025,5.094045127,0.907550829,0.202604921,0.236694365,0.116711561,-5.226018236,1.534736794,-2.349194795,1.935994707,1.812918089,-2.348625381
SAM211,75.88825,4.757168621,0.946191085,0.217693957,0.252333529,0.169880176,-6.54835904,2.132455682,-2.765645134,2.421830288,2.241850272,-2.821986887
SAM212,78.5635,4.723588033,0.949376622,0.303567624,0.259409487,0.10649782,-6.687868239,2.361403952,-2.893084824,2.556062551,2.369446726,-2.950103849
SAM213,72.845,4.697091992,0.951815679,0.321276936,0.267921266,0.114397846,-6.798770406,2.440405376,-2.943830248,2.612069617,2.420099049,-3.000873889
SAM214,101.55875,5.088708126,0.908269961,0.20084011,0.235127774,0.105316654,-5.245732733,1.53856116,-2.353601619,1.941453015,1.817614837,-2.354946222
SAM215,81.5965,4.781895225,0.943776121,0.217098604,0.273242443,0.152121988,-6.4464151,2.08591827,-2.734651145,2.385764572,2.210561899,-2.790021332
SAM216,97.13125,4.516363883,0.966834881,0.092468922,0.097485898,0.10283697,-7.571959097,2.198998875,-2.946736191,2.647028819,2.415843394,-2.992366754
SAM217,105.77125,4.88012701,0.933569974,0.203469091,0.235168781,0.327543432,-6.048467889,1.881312731,-2.601872411,2.232513026,2.075362795,-2.649165449
SAM218,122.14575,5.131964971,0.902329318,0.284002474,0.008063343,0.300271612,-5.087200184,1.645819898,-2.386888114,1.966303603,1.848506304,-2.371048571
SAM219,97.64725,5.288306895,0.878582541,0.725169258,0.152605919,0.15348242,-4.538882287,1.883820865,-2.650343444,2.201018114,2.102521143,-2.568151697
SAM220,119.04525,4.716146368,0.950068193,0.312669626,0.096755053,0.329511968,-6.718944268,2.390291546,-2.911443572,2.575908708,2.387799487,-2.968514466
SAM221,107.88575,4.956988317,0.924854904,0.444469271,0.282730757,0.390130276,-5.745601049,2.144092292,-2.751283429,2.365874079,2.221800443,-2.786978524
SAM222,106.164,4.86088532,0.935648893,0.243819172,0.086189467,0.193992159,-6.125491502,2.004663772,-2.665368026,2.300039236,2.139470535,-2.714801605
SAM223,88.64575,4.416184795,0.974062424,0.439004982,0.183415238,0.10703527,-8.010338149,3.227329125,-3.42735524,3.140852527,2.886039905,-3.457950893
SAM224,102.61925,4.680441657,0.953315666,0.174458495,0.292938287,0.165083932,-6.868819085,2.167503061,-2.817884209,2.489377117,2.293988485,-2.874717195
SAM225,150.1165,6.068588352,0.684634483,1,0.179410708,0.264488721,-2.413904383,0.970561653,-2.079402756,1.935586037,2.007688007,-2.31609995
SAM226,152.624,5.109775844,0.905408736,0.686835496,0.053923896,0.099677955,-5.168162634,2.121086912,-2.815264324,2.398982202,2.278123695,-2.80873617
SAM227,93.56175,4.824486589,0.939473755,0.534708,0.186718821,0.208297568,-6.272449729,2.46060569,-3.000292897,2.642572256,2.475379673,-3.053014533
SAM228,126.06525,4.886159323,0.932909949,0.134209725,0.288516855,0.529277343,-6.02441757,1.663021365,-2.525375336,2.154752224,1.998661798,-2.571937758
SAM229,194.26725,5.274468805,0.880837356,0.233849922,0.499503553,0.16800947,-4.585815077,1.337957663,-2.174604642,1.727714604,1.627672056,-2.07213471
SAM230,195.95725,5.181145097,0.895255555,0.247235584,0.50371402,0.154272569,-4.910492913,1.502711967,-2.293804709,1.863880496,1.752585046,-2.252218188
SAM231,130.46425,5.12844348,0.902822606,0.659573226,0.046740467,0.087122767,-5.0999984,2.072456842,-2.766506963,2.346601666,2.228323828,-2.75222335
SAM232,147.03825,5.635701628,0.810430806,0.619904418,0.395179256,0.244134877,-3.466561461,1.320651673,-2.161673941,1.650396762,1.577967069,-2.275704752
SAM233,172.88625,6.076507778,0.681787908,0.479211101,0.297021635,0.345375262,-2.397430774,0.591817556,-1.550271505,1.430534073,1.502847264,-1.788592386
SAM234,77.21,4.542738753,0.964808525,0.371935532,0.063827708,0.322379,-7.457534529,2.834574712,-3.191626503,2.887794569,2.66261421,-3.24017062
SAM235,174.8685,6.158670859,0.650885816,0.838452302,0.292054863,0.360785275,-2.232066713,0.757218581,-1.823163548,1.965175063,2.044421247,-2.076956671
SAM236,163.7685,5.079499024,0.909501847,0.638331527,0.062044603,0.111513824,-5.2798519,2.130922857,-2.801754479,2.391427007,2.266264017,-2.806282669
SAM237,150.8895,5.101607312,0.906525272,0.210912165,0.24067963,0.212029214,-5.198158293,1.543240476,-2.34876602,1.934081079,1.812075721,-2.345393148
SAM238,146.61725,5.107436848,0.90572938,0.202685748,0.239638558,0.178390985,-5.176741221,1.514437533,-2.333812151,1.917986649,1.796800844,-2.328201448
SAM239,147.17925,5.282239207,0.879575068,0.228549674,0.220809015,0.628015595,-4.559422317,1.315255609,-2.160552226,1.712292349,1.613121648,-2.070285277
SAM240,112.7445,5.310028502,0.87497963,0.355131043,0.546644976,0.382948394,-4.465851376,1.495610139,-2.255902617,1.802792058,1.706655782,-2.19721357
SAM241,168.05525,5.313822912,0.874342191,0.242227658,0.294944272,0.663992398,-4.453174489,1.298863732,-2.138743162,1.684975819,1.589243652,-2.083605358
SAM242,102.54675,4.942198152,0.926584369,0.184877747,0.075952003,0.278938467,-5.803267045,1.729705314,-2.509212442,2.126877529,1.980359828,-2.547543936
SAM243,158.52325,5.38118078,0.862614441,0.322857131,0.20607551,0.31079422,-4.232147549,1.346707475,-2.144137385,1.678889873,1.589911859,-2.139247244
SAM244,157.45275,5.348791183,0.868352461,0.286455254,0.239753878,0.330697938,-4.337479541,1.332791915,-2.143839085,1.684074218,1.591948746,-2.117080601
SAM245,138.41625,5.032988858,0.91555302,0.658143177,0.062900412,0.090900385,-5.454106779,2.21867582,-2.875653287,2.474646603,2.342585606,-2.894231242
SAM246,147.5875,5.432502894,0.85313315,0.206438606,0.037710434,0.256193839,-4.068878812,1.050983983,-1.970778995,1.496916613,1.412526603,-1.99561811
SAM247,113.01625,4.706219457,0.950982749,0.464945059,0.327111176,0.339802181,-6.760486449,2.607640535,-3.076093509,2.742531341,2.552417158,-3.133178824
SAM248,189.02575,5.322996671,0.872791024,0.236450007,0.316615568,0.605515149,-4.42262469,1.273656478,-2.122683687,1.66733356,1.572568172,-2.07567028
SAM249,143.703,5.400924571,0.85902443,0.807846467,0.573411169,0.137486169,-4.168808932,1.777460029,-2.607183813,2.138616953,2.051463348,-2.614308249
SAM250,139.22025,4.974762519,0.922742379,0.564064365,0.037025216,0.042392145,-5.676698835,2.234383021,-2.849885644,2.460795611,2.319613419,-2.882133458
SAM251,78.32825,4.637890052,0.957037461,0.176433858,0.054953303,0.286455693,-7.049022673,2.258146095,-2.873611933,2.553197985,2.348890437,-2.929124714
SAM252,138.537,5.44231828,0.851263758,0.550935042,0.341758017,0.18158082,-4.038163212,1.52807517,-2.30442156,1.828911653,1.745340552,-2.334457256
SAM253,163.802,5.223351959,0.888901121,0.376587307,0.078327715,0.236719952,-4.761905263,1.650725185,-2.375136512,1.937418039,1.831389327,-2.301417554
SAM254,74.32625,4.722752648,0.949454513,0.509249491,0.092428842,0.465384044,-6.691353931,2.621651267,-3.099804998,2.76295005,2.576166991,-3.156831606
SAM255,127.93275,4.9842103,0.921604101,0.240065446,0.614038652,0.199671169,-5.640253427,1.792019735,-2.514755358,2.123716063,1.984050446,-2.545041009
SAM256,84.562,4.746222716,0.947241214,0.286813555,0.040747732,0.186087921,-6.59370143,2.29058516,-2.8482772,2.506689815,2.324565421,-2.904920081
SAM257,136.585,5.408892499,0.857555429,0.459260067,0.278769662,0.130697011,-4.143434603,1.483882018,-2.249755566,1.779851928,1.693413828,-2.261508094
SAM258,136.219,5.435153425,0.852630149,0.525205564,0.346459042,0.207680292,-4.06056825,1.514171229,-2.286613876,1.812306813,1.728139856,-2.312869351
SAM259,147.1855,5.451349648,0.849527402,0.339076988,0.192434372,0.516138321,-4.010046017,1.272780513,-2.082586505,1.605558088,1.522723117,-2.117291317
SAM260,161.81775,5.206252772,0.891507841,0.529032832,0.501085328,0.210822177,-4.821757516,1.845853919,-2.547002679,2.112417226,2.00428987,-2.488043181
SAM261,106.74475,4.554041377,0.963923662,0.491581321,0.475838951,0.268964584,-7.408645644,2.9487388,-3.296540709,2.990871373,2.768235845,-3.346202423
SAM262,56.32275,4.296186547,0.98181876,0.582531438,0.099804026,0.157931745,-8.540997809,3.728018677,-3.738100817,3.460722864,3.176039138,-3.74196933
SAM263,121.72925,4.829287488,0.9389772,0.514952303,0.43118762,0.262460207,-6.252974114,2.433350355,-2.97470958,2.615987607,2.449680435,-3.027052879
SAM264,88.4485,4.675474579,0.953758322,0.364476427,0.072522391,0.268477093,-6.889767589,2.545647976,-3.014145908,2.686600642,2.490184466,-3.07088255
SAM265,143.39175,5.411844666,0.857008176,0.165456023,0.528976441,0.679127756,-4.134060592,0.969280919,-1.952677517,1.482278827,1.396102746,-1.966115882
SAM266,105.022,4.75607715,0.946296315,0.29632432,0.407084207,0.185948752,-6.55287452,2.288650473,-2.845621336,2.502029128,2.321836097,-2.901996638
SAM267,137.77775,5.468431562,0.846200072,0.449858729,0.288321163,0.144891332,-3.957245494,1.390353886,-2.174523343,1.694611928,1.613122504,-2.21779008
SAM268,171.327,5.216388223,0.889968104,0.256028758,0.528633412,0.191258226,-4.786223452,1.468033534,-2.262481683,1.826035119,1.719157506,-2.195158764
SAM269,164.4095,5.190267571,0.893904754,0.22654009,0.489953655,0.19268452,-4.878135756,1.44544741,-2.26270656,1.831080356,1.720947857,-2.215255773
SAM270,109.47,4.644884783,0.956436488,0.221144295,0.636147486,0.133924789,-7.019287061,2.356877638,-2.909444775,2.58772457,2.384901116,-2.965251259
SAM271,186.62825,5.401790444,0.858865361,0.218040205,0.538025322,0.182649743,-4.166046309,1.121395794,-2.016416339,1.547704157,1.460628889,-2.024049407
SAM272,79.8305,5.047903497,0.91364313,0.748252495,0.138268506,0.273318077,-5.397878461,2.259441748,-2.948373418,2.544356422,2.414545051,-2.96278614
SAM273,210.4105,5.401105142,0.858991269,0.21807616,0.534337068,0.198122644,-4.168232708,1.122442186,-2.017213047,1.54861588,1.461478623,-2.024443671
SAM274,145.427,5.304896954,0.875837861,0.368729007,0.254127898,0.432852605,-4.483033643,1.521765419,-2.275259603,1.823039318,1.7263526,-2.211556445
SAM275,154.62575,5.114230237,0.904796023,0.130377518,0.246197419,0.188933815,-5.151848788,1.283467175,-2.253671746,1.836521655,1.716284024,-2.245364335
SAM276,152.52825,5.082829847,0.909057597,0.12432712,0.248340883,0.22406208,-5.267496596,1.307814697,-2.283892162,1.872905027,1.748222774,-2.287285845
SAM277,84.62875,4.768651924,0.945076974,0.333159406,0.232445026,0.300538074,-6.500930856,2.324144002,-2.866971679,2.520807858,2.343058031,-2.922912833
SAM278,143.44975,5.576235725,0.823837664,0.54666106,0.078109321,0.142417702,-3.635525021,1.339059456,-2.15312726,1.654069496,1.579446394,-2.244199087
SAM279,153.3895,5.180002963,0.895423809,0.515979854,0.246338839,0.198599187,-4.914553366,1.872274846,-2.563852332,2.134141884,2.02269988,-2.522969827
SAM280,61.3245,4.421252457,0.973713937,0.349895742,0.072837632,0.357603404,-7.988039547,3.100367086,-3.331351344,3.044287648,2.790700188,-3.362861613
SAM281,56.52975,4.349477836,0.978488765,0.366032234,0.076959017,0.339719808,-8.304797088,3.3258097,-3.446361518,3.165984287,2.894764105,-3.463326509
SAM282,130.57225,5.278026472,0.880260637,0.380025616,0.324109145,0.350812751,-4.573718841,1.575588593,-2.316772105,1.869254128,1.769612013,-2.220222987
SAM283,88.1515,4.741226478,0.947716737,0.303055158,0.117788869,0.323864235,-6.614440723,2.327429091,-2.870698145,2.530123399,2.347014205,-2.927452509
SAM284,77.6795,4.500378668,0.96803725,0.272677096,0.068802967,0.330695173,-7.641529791,2.777252239,-3.148040516,2.850714159,2.615844413,-3.191695887
SAM285,84.96375,4.820455746,0.939888826,0.169205566,0.146786446,0.192654525,-6.288822754,1.892402352,-2.639687973,2.282807362,2.114868642,-2.692714549
SAM286,77.53575,4.514711414,0.966960068,0.276985801,0.072266338,0.312975489,-7.579143449,2.751391866,-3.133428896,2.833971958,2.602407222,-3.17886262
SAM287,79.212,4.815905501,0.940355376,0.168816829,0.150826894,0.200114137,-6.307328774,1.899289626,-2.644832943,2.288899784,2.120115773,-2.698189901
SAM288,132.676,5.315494212,0.874060655,0.379034318,0.31858829,0.316575282,-4.447598406,1.520342688,-2.273675807,1.819619574,1.724064618,-2.220064315
SAM289,85.12325,4.73525633,0.948281845,0.299069535,0.11535506,0.335260589,-6.639257426,2.33197255,-2.874106005,2.534737718,2.350446842,-2.930972376
SAM290,154.91075,4.544698612,0.964655807,0.160713941,0.102900564,0.489394693,-7.449050807,2.410618535,-2.977846852,2.673699211,2.448961359,-3.026590376
SAM291,143.9275,4.812353115,0.940718139,0.273496717,0.113042703,0.682743178,-6.321793451,2.146818821,-2.753836792,2.398642656,2.229196512,-2.807441529
SAM292,169.6565,5.75361713,0.781368147,0.183371449,0.492041228,0.525180427,-3.14927945,0.551425633,-1.597798886,1.052179803,0.976589689,-1.752221546
SAM293,184.703,6.024576339,0.700049974,0.213889399,0.499042167,0.55274235,-2.507201152,0.259982492,-1.339720019,1.063318005,1.136113442,-1.566986746
SAM294,184.987,6.021611852,0.701064119,0.22036627,0.483894894,0.503775058,-2.513592377,0.278966225,-1.34932817,1.06399327,1.136974096,-1.575935226
SAM295,164.41975,5.150487259,0.899705941,0.225160742,0.056447655,0.273634256,-5.020202351,1.501800171,-2.306789077,1.882654809,1.767352132,-2.282210177
SAM296,183.9305,6.080770115,0.680246487,0.219960775,0.492260446,0.541990701,-2.388603807,0.196579835,-1.286532673,1.17980861,1.252271673,-1.525718059
SAM297,76.0695,4.751516866,0.946734739,0.515415772,0.081634491,0.410882242,-6.57175476,2.573836901,-3.070339584,2.727676343,2.546591365,-3.126846605
SAM298,145.1265,4.855235783,0.936251724,0.164420757,0.175685002,0.122828148,-6.148194548,1.817395199,-2.592782628,2.228636638,2.067053297,-2.642790863
SAM299,89.19175,4.701366553,0.951426549,0.401867042,0.147790241,0.484818888,-6.780831002,2.544068088,-3.019076014,2.686473205,2.495373551,-3.076145703
SAM300,84.56275,4.333224125,0.979523278,0.30221832,0.209677422,0.169083928,-8.376765403,3.279836943,-3.40532174,3.126051343,2.850757094,-3.418505755
